t0,a,m1,m2,nu0,M_ch,K,nu_max,Dt_max
384.345,1.312,0.758797,0.72326,8.094213294955985e-05,0.6448802105546101,1.7714483858753604e-06,0.024543181598060477,547.1601335103371
593.438,0.991999,0.642702,0.453912,0.00010590171301347109,0.46878966886439405,1.0411024616474047e-06,0.012440034637656108,454.6452876902961
1058.67,23.7613,0.910263,0.338242,9.639017977080338e-07,0.4718007174879598,1.0522713547197943e-06,0.008520223801971889,124554737.60793364
216.442,1.57408,1.12453,0.676502,6.789901231661915e-05,0.754466207718307,2.3010695253309758e-06,0.021331414949928674,672.9917164847642
216.321,4.63616,0.833103,0.811473,1.283607642651667e-05,0.7157689814960587,2.1077456883442565e-06,0.03004879221710026,62412.43286306793
1355.45,2.39228,0.698204,0.340682,2.7523830601380593e-05,0.4192618377669653,8.643155154513193e-07,0.00866996057703914,19907.315503601007
1094.28,1.54484,0.726641,0.323575,5.33282091894692e-05,0.4154523205706281,8.512662230636941e-07,0.00814964910257753,3464.3682885993603
8693.76,6.82389,0.542725,0.333268,5.24620473773919e-06,0.36806450577488065,6.95670066800201e-07,0.00855377862118402,2055503.2173361452
298.019,28.3748,0.937984,0.326225,7.432812353529817e-07,0.46888228682137584,1.0414452988849068e-06,0.008165543152882922,251688781.9379552
8568.12,5.53845,0.549935,0.321144,7.154665869242777e-06,0.36324127810528967,6.80542749828886e-07,0.008180760886836943,918646.4642244523
1860.33,1.50605,0.81392,0.330413,5.7830915706522524e-05,0.442662592756985,9.462040271165324e-07,0.008317985921902667,2510.9016315639296
809.455,1.35853,0.52401,0.618378,6.7444402257758e-05,0.49521459603984425,1.1407377511567627e-06,0.015162575947341456,1382.0814352012267
4412.34,0.757231,0.529554,0.240154,0.0001330342195699098,0.3057559001902897,5.106870326193243e-07,0.005892813682677782,504.4683825706294
825.016,9.00474,0.71311,0.585288,4.213471843099456e-06,0.5618677696158386,1.4079490973802752e-06,0.017588909344916318,1822279.1099552407
80.3675,2.40765,1.03671,0.736313,3.561312611141353e-05,0.7583836818288835,2.321017344594403e-06,0.024703791635730284,3729.095013310296
3180.3,0.670965,0.437714,0.253782,0.00015117778578715193,0.28802674562954844,4.6229384940877686e-07,0.006320004625736417,396.2799320233664
352.376,2.5311,0.857012,0.76102,3.1562583259705135e-05,0.7028009870390974,2.0444854507763515e-06,0.026576225501157947,5841.593052488356
11346.1,0.894487,0.393428,0.230416,9.32867354171947e-05,0.2602624647834942,3.904355165632016e-07,0.005707437287617879,1700.1957646276346
13169.3,1.24069,0.393663,0.241349,5.761545382330834e-05,0.26675076551959054,4.0679244364322245e-07,0.006009395531664619,5898.797156972647
1319.41,0.573181,0.78963,0.241403,0.00023379840703540507,0.36765905663675114,6.943933193703424e-07,0.005864351473501054,82.47301655107714
10585.9,4.82186,0.451664,0.313849,8.256525635750555e-06,0.326686525008685,5.702720963285114e-07,0.008057187644297017,748227.656558751
11437.9,5.69789,0.37715,0.147994,5.323669135910386e-06,0.20137207758351916,2.5460221110889735e-07,0.0035714958846506605,5401119.3308530105
1983.87,1.79766,0.541815,0.318223,3.8445050121082844e-05,0.3589599746036796,6.672267704292008e-07,0.008099925679880594,10577.764253984647
810.894,32.5286,0.935961,0.263094,5.897452311265382e-07,0.4159617504166568,8.530066460017885e-07,0.006421820005064217,569531642.1802248
252.847,7.7822,0.869661,0.773439,5.899583600096778e-06,0.7137281695879678,2.0977391472804294e-06,0.027339403256513562,498463.8463930993
171.09,1.24865,0.870069,0.656267,8.847222206673316e-05,0.6565238801930179,1.8250760488249388e-06,0.020657386341377454,418.93094078595055
9941.32,0.682586,0.382242,0.222942,0.00013783217123861536,0.2523136179679302,3.7076429530267207e-07,0.005511952802598163,632.1974193733812
1037.93,0.215761,0.680394,0.328399,0.001001346891967571,0.40619724049139977,8.198952446511787e-07,0.008312758420499599,1.4389702437074958
732.67,10.8677,1.17411,0.294744,3.3800707962871543e-06,0.4898876938759284,1.1203601069725366e-06,0.007259713060796818,4121756.6274856455
3397.9,1.57348,0.47424,0.293803,4.4365345768663314e-05,0.3231138229552777,5.599157051698721e-07,0.007435433548590605,8603.370520048258
10112.0,0.671056,0.402753,0.21964,0.00014339603656172737,0.25658850215359874,3.8129291803439895e-07,0.00540766053802108,553.1681297861401
289.384,1.16136,0.830061,0.651416,9.717176799725843e-05,0.6392078145125009,1.7455550343316162e-06,0.020486408041279595,341.08922939455204
538.575,0.94066,0.723764,0.6146,0.00012670129435772939,0.5802282513590036,1.4854619701076455e-06,0.018912284498166503,197.52879083234794
325.442,1.44248,1.04967,0.567279,7.333755114568403e-05,0.6655342813655105,1.86701355425379e-06,0.016397164019504983,675.3941929333178
12845.7,0.569708,0.354775,0.210329,0.0001746741575486973,0.23620311633319713,3.321539781748884e-07,0.0051917858820228905,375.18171076487266
723.033,1.15357,0.68907,0.488249,8.750323119118267e-05,0.5034588649863331,1.1725644967803367e-06,0.013644478431234331,671.4914833724312
7682.73,0.379613,0.254354,0.274629,0.00031070782178200715,0.23005021173908188,3.1785897744454535e-07,0.006547514828274648,84.3866187747032
736.603,1.46372,0.735009,0.423405,6.072783968097757e-05,0.48201041690815327,1.09049612441976e-06,0.011280035004015242,1912.4204322653827
11969.2,1.66046,0.446553,0.253452,3.9070672597212264e-05,0.29056346906712327,4.6909964718930416e-07,0.006304081535747452,14411.440855281473
7182.18,0.698556,0.607237,0.215749,0.00015525204393008408,0.30711831826555613,5.144852812606474e-07,0.005226257501771484,331.69036258117904
136.936,4.88141,0.983571,0.877534,1.2638934169305618e-05,0.8085141506204528,2.5823164507471584e-06,0.03472584948878557,53089.02786194476
1100.46,0.718146,0.784834,0.266531,0.00016834513973856664,0.38722609770177685,7.570730483601809e-07,0.006532250825912963,181.6397661065164
13022.7,0.808425,0.608479,0.205645,0.00012403053571222397,0.29941953932701343,4.931703776930553e-07,0.004966785775504796,629.717360553182
2613.43,0.891741,0.532693,0.267077,0.00010611270754052005,0.3245451067951395,5.640555312869499e-07,0.006629224694430404,834.7058436729993
148.89,6.89532,0.924758,0.88781,7.4294807040506975e-06,0.7887693310553519,2.478069294372868e-06,0.03580027128255928,228159.96200612432
1333.01,0.297213,0.321845,0.473239,0.0005498544554610096,0.33849618155415084,6.050431887939031e-07,0.008275639961320776,9.671201660777133
861.118,0.556557,0.620359,0.317574,0.00023305819449978793,0.3821716370257755,7.406746951862786e-07,0.00802602907252033,77.98450653622685
2765.37,2.08041,0.523633,0.313938,3.0474062969785537e-05,0.35068582445744206,6.417912199876091e-07,0.00798717757977972,20434.65072885211
1012.01,26.0541,0.961878,0.331205,8.543622112742474e-07,0.4781947956726815,1.0761467418374075e-06,0.008304519542937743,168006155.94201976
880.652,3.22753,0.699054,0.569196,1.9406175182317807e-05,0.5485580144831541,1.3528023860358447e-06,0.016906841261985637,32297.42360812836
4858.1,2.47725,0.597296,0.294104,2.419493740428534e-05,0.3604124598494144,6.717325820518743e-07,0.007357842289696353,36122.703608537646
3977.39,1.3046,0.526854,0.27217,5.9938627555113745e-05,0.3261417191601164,5.686879332788149e-07,0.006775207187173686,3797.360723450854
