Age (Myr),Redshift
637.3066474552558,8.000000025767305
638.6217223767542,7.9876551271088525
639.9367972982526,7.975352406922903
641.251872219751,7.963091591991108
642.5669471412494,7.95087260025247
643.8820220627479,7.938694999240387
645.1970969842463,7.926558768054707
646.5121719057447,7.91446359782895
647.8272468272431,7.90240920314606
649.1423217487416,7.890395474355806
650.45739667024,7.878422108479262
651.7724715917384,7.866488863726809
653.0875465132369,7.854595648283332
654.4026214347354,7.842742144129392
655.7176963562338,7.830928241856284
657.0327712777322,7.819153594444553
658.3478461992306,7.80741808434969
659.662921120729,7.795721447737714
660.9779960422275,7.784063478070319
662.2930709637259,7.7724440814151015
663.6081458852243,7.7608629959003395
664.9232208067227,7.749319902554729
666.2382957282211,7.737814820187919
667.5533706497196,7.7263473183554385
668.868445571218,7.71491737153354
670.1835204927164,7.703524651779428
671.4985954142148,7.6921690938742575
672.8136703357133,7.680850494355401
674.1287452572117,7.6695684970202045
675.4438201787101,7.658323132175928
676.7588951002085,7.647114043475473
678.0739700217069,7.635941112422004
679.3890449432054,7.624804156762937
680.7041198647038,7.613702979260421
682.0191947862022,7.602637349851544
683.3342697077006,7.591607191613734
684.649344629199,7.580612274331791
685.9644195506976,7.56965235015326
687.279494472196,7.558727335422495
688.5945693936944,7.547837000559036
689.9096443151928,7.536981221884919
691.2247192366913,7.526159732264773
692.5397941581897,7.515372413598431
693.8548690796881,7.504619118087355
695.1699440011865,7.493899680803162
696.485018922685,7.4832138953596425
697.8000938441834,7.472561533612133
699.1151687656818,7.4619425162980155
700.4302436871802,7.451356675097502
701.7453186086786,7.440803864183373
703.0603935301771,7.430283788906421
704.3754684516755,7.4197963983521085
705.6905433731739,7.409341553134402
707.0056182946723,7.398918939179262
708.3206932161708,7.388528615376842
709.6357681376692,7.37817024933873
710.9508430591676,7.367843719343318
712.265917980666,7.357548979003008
713.5809929021644,7.347285663869568
714.8960678236629,7.337053897079459
716.2111427451614,7.326853262530623
717.5262176666597,7.316683769766325
718.8412925881582,7.306545133909319
720.1563675096567,7.296437374269093
721.4714424311551,7.286360156589068
722.7865173526535,7.276313496466244
724.1015922741519,7.266297168734059
725.4166671956503,7.256311004732557
726.7317421171488,7.246354894415693
728.0468170386472,7.236428698815176
729.3618919601456,7.2265322669810725
730.676966881644,7.216665435332277
731.9920418031425,7.206828073530843
733.3071167246409,7.197020115286686
734.6221916461393,7.187241276189057
735.9372665676377,7.177491483363176
737.2523414891361,7.1677706276670605
738.5674164106346,7.158078590975902
739.882491332133,7.148415129175322
741.1975662536314,7.138780243931852
742.5126411751298,7.129173730459202
743.8277160966283,7.119595392606484
745.1427910181267,7.110045172370471
746.4578659396251,7.100522988132044
747.7729408611235,7.0910285558775445
749.088015782622,7.081561912430675
750.4030907041204,7.072122846999141
751.7181656256189,7.062711214806031
753.0332405471173,7.0533269458877355
754.3483154686157,7.043969800779589
755.6633903901142,7.034639755066379
756.9784653116126,7.025336758772114
758.293540233111,7.016060489536104
759.6086151546094,7.00681096077319
760.9236900761078,6.997587987669956
762.2387649976063,6.988391514591904
763.5538399191047,6.97922130047598
764.8689148406031,6.970077312189054
766.1839897621015,6.960959458449079
767.4990646836,6.951867609121772
768.8141396050984,6.942801573344826
770.1292145265968,6.933761260558545
771.4442894480952,6.924746595485946
772.7593643695936,6.9157574351498265
774.0744392910921,6.906793682157154
775.3895142125905,6.89785517122131
776.7045891340889,6.888941880984177
778.0196640555873,6.880053532643369
779.3347389770859,6.871190197161367
780.6498138985842,6.8623516773910636
781.9648888200827,6.8535378393648525
783.279963741581,6.844748639323647
784.5950386630795,6.835983886328889
785.910113584578,6.8272435790996155
787.2251885060764,6.818527503332284
788.5402634275748,6.809835651464599
789.8553383490732,6.801167816268479
791.1704132705717,6.792523922785696
792.4854881920701,6.78390386062308
793.8005631135685,6.775307594789411
795.1156380350669,6.766734980932917
796.4307129565653,6.758185854906031
797.7457878780638,6.7496601494035815
799.0608627995622,6.741157755353524
800.3759377210606,6.732678659080988
801.691012642559,6.724222646997777
803.0060875640575,6.715789612954362
804.3211624855559,6.707379554909288
805.6362374070543,6.698992300406287
806.9513123285527,6.6906277917569845
808.2663872500511,6.682285900896037
809.5814621715496,6.6739665480100205
810.896537093048,6.665669598643358
812.2116120145465,6.6573949805028905
813.5266869360448,6.649142645279303
814.8417618575434,6.640912439791199
816.1568367790417,6.632704280968136
817.4719117005402,6.624517977765021
818.7869866220386,6.6163536192916155
820.102061543537,6.60821102686954
821.4171364650355,6.600090101296717
822.7322113865339,6.591990736213554
824.0472863080323,6.583912906037185
825.3623612295307,6.5758564150478565
826.6774361510292,6.56782121933086
827.9925110725276,6.559807282983045
829.307585994026,6.551814423141493
830.6226609155244,6.543842721096619
831.9377358370228,6.535891875928768
833.2528107585213,6.527961904492601
834.5678856800197,6.520052670247429
835.8829606015181,6.5121641675402
837.1980355230165,6.504296274220313
838.513110444515,6.4964488000324785
839.8281853660134,6.488621826526631
841.1432602875118,6.480815190683982
842.4583352090103,6.473028871487315
843.7734101305086,6.4652626090921474
845.0884850520072,6.457516523709607
846.4035599735055,6.449790379479819
847.718634895004,6.442084222731713
849.0337098165023,6.434397870838401
850.3487847380009,6.426731290556605
851.6638596594993,6.419084373256014
852.9789345809977,6.411457043172641
854.2940095024961,6.403849239730603
855.6090844239945,6.3962609156650085
856.924159345493,6.3886919082545734
858.2392342669914,6.381142185859755
859.5543091884898,6.373611658221002
860.8693841099882,6.366100270544044
862.1844590314867,6.358607940880884
863.4995339529851,6.3511345292147245
