t0,a_i,m1,m2,nu0,M_ch,K,nu_max,Dt_max
655.477,0.763082,0.968818,0.684903,0.0001927601476816413,0.7070177421882031,2.0649709206344473e-06,0.021965349839636616,46.41026794087447
9485.0,22.245,0.525917,0.521488,9.746566490551395e-07,0.45590461519592934,9.938482274413688e-07,0.01527199910552954,128031737.5402705
1647.78,0.358725,0.39629,0.500206,0.0004403263297436696,0.38706823750067004,7.565587258355123e-07,0.010634563911947647,13.99301375645735
280.283,1.61284,0.851529,0.896806,6.450128114064039e-05,0.7607007397521302,2.3328482223099143e-06,0.03286686318618109,761.213860552609
976.127,19.4681,0.958356,0.25164,1.2795273056918784e-06,0.4100408628154342,8.328663533569373e-07,0.006118272448166121,73938045.58754684
4377.98,0.177431,0.286336,0.318463,0.0010396908585515129,0.2628081012483098,3.9682101833144904e-07,0.007423796094811795,2.684929620879337
49.5711,1.02556,1.34104,1.0912,0.000150039133145112,1.0519772994148149,4.0044299435959445e-06,0.05971226620923002,46.68269271824423
4130.84,13.6065,0.553579,0.195357,1.7228428229298695e-06,0.2789434764428015,4.3825186035584984e-07,0.004715151999414516,63561857.91548578
1177.3,13.8586,1.10464,0.227444,2.2352685602577e-06,0.41224066267650367,8.403266411711385e-07,0.0054922306831094135,16554449.677651437
947.936,0.287954,0.792188,0.328479,0.0006845364240131947,0.4358190451965563,9.219494181080457e-07,0.008268573295293048,3.5365386308860094
7502.73,3.69619,0.436386,0.470787,1.3392343191481106e-05,0.39452918883997473,7.810196950542807e-07,0.012100899858106787,150416.65569943874
2747.4,13.0988,0.559209,0.199348,1.8356496131818257e-06,0.2833439716105706,4.4983514320465133e-07,0.004815462620744517,52289676.98964501
1655.61,30.6059,0.872592,0.347551,6.518393549860695e-07,0.4696947599876562,1.0444547073574187e-06,0.008805167151215902,356159299.1751423
97.175,0.81041,1.23509,1.04436,0.00020677631517701165,0.9880144286504989,3.6069121486719654e-06,0.05244332542431762,22.034553878254204
9863.43,1.69018,0.389348,0.399988,4.039935778510051e-05,0.3435409910422722,6.201465900061447e-07,0.010594424644050783,9971.236770765887
6261.3,0.221243,0.312865,0.27207,0.0007343319760260601,0.25386396641174985,3.745690203569993e-07,0.007002306385208932,7.209972744622364
12600.5,1.08823,0.351522,0.361209,7.430614429921623e-05,0.31019980055894597,5.231175336691469e-07,0.009405704281201332,2327.6042970565086
5276.61,8.96015,0.526612,0.537491,3.84292454416825e-06,0.46314868486804694,1.0203068719173401e-06,0.015454332441887373,3214250.1704756664
2973.66,0.186107,0.25273,0.326538,0.0009471933707481588,0.2496769255514516,3.643293001728147e-07,0.0064092739762370635,3.7461527723995167
583.453,3.13395,0.698101,0.751468,2.1683245901758664e-05,0.6304482920131901,1.7058697731452454e-06,0.023123303617685945,19053.06177964265
6534.72,0.168249,0.230821,0.29695,0.0010518092058155347,0.2275548436197235,3.1213338815309537e-07,0.005823269175058401,3.2924479500808204
8105.59,3.54964,0.446502,0.466964,1.4279489211444441e-05,0.3974894515526264,7.90811117859718e-07,0.012481861334111275,125199.38826642418
1723.39,0.984283,0.411155,0.556014,0.00010062691333015008,0.4152927105310675,8.507212217550561e-07,0.011056980841134644,637.6008227829169
2488.88,10.3047,0.598426,0.632378,3.351076668260253e-06,0.5354939201609964,1.299534041179576e-06,0.018368315509850356,3636046.8920539594
3971.03,14.3623,0.567145,0.198856,1.6066512670256708e-06,0.284769725662985,4.5361399789732345e-07,0.004801375045580632,73977219.31978607
943.33,15.4334,1.29854,0.250453,2.0510453014987565e-06,0.46698082827031595,1.0344158622146182e-06,0.006083126216403603,16915295.694536544
8046.19,0.200375,0.260392,0.293034,0.0008287192362401732,0.2403894914593062,3.420234506547633e-07,0.006690575990706842,5.711817077868298
530.911,15.4045,1.05038,0.453895,2.0269132083448285e-06,0.590902269450998,1.5312855452923683e-06,0.012133065934121296,11793033.063699722
2764.11,22.6469,1.34643,0.216043,1.1588735766038205e-06,0.43598533673253875,9.225357925258966e-07,0.0052111058426791215,86928606.9078618
1188.13,6.99885,0.660682,0.755618,6.422151441938294e-06,0.6148169198202194,1.635961595878487e-06,0.021110264961371097,509707.3410395742
1219.81,31.1223,1.13071,0.368023,7.045268540261487e-07,0.54499292276126,1.338180994044546e-06,0.009360098983741892,225943808.61937633
7000.78,0.291116,0.577284,0.24005,0.0005751003253961682,0.31807887418402575,5.454498110716432e-07,0.005872230670212144,9.50499166350155
8764.33,0.17739,0.263457,0.313998,0.0010162681527118862,0.25019483804518333,3.655897366007352e-07,0.006743485431440942,3.0933113298205943
2118.42,6.01997,0.597128,0.609702,7.4314661150697455e-06,0.525269052445808,1.2584417260344338e-06,0.018368203181784254,448962.76571626536
