f,Om
1.0592537251772897e-05,2.991853857756586e-15
1.1885022274370188e-05,3.665095142450636e-15
1.3335214321633239e-05,3.109110864001944e-15
1.4962356560944329e-05,1.951185376995353e-17
1.678804018122559e-05,-7.935792908657313e-16
1.883649089489802e-05,-1.3805866796283797e-15
2.1134890398366476e-05,1.2842031947363171e-16
2.371373705661655e-05,3.212153586327521e-15
2.6607250597988085e-05,1.1272273260162216e-14
2.9853826189179574e-05,2.5600731149267914e-14
3.3496543915782794e-05,3.9802912970848255e-14
3.758374042884443e-05,6.598646334493254e-14
4.216965034285822e-05,9.826675921199693e-14
4.731512589614802e-05,1.400211577719835e-13
5.308844442309879e-05,1.876804513301276e-13
5.9566214352901096e-05,2.480321234557521e-13
6.683439175686149e-05,3.2173281812345723e-13
7.498942093324559e-05,4.061772408330259e-13
8.413951416451947e-05,5.020558219538094e-13
9.440608762859225e-05,6.076787472172929e-13
0.00010592537251772897,7.229740158897306e-13
0.0001188502227437019,8.487442366357412e-13
0.0001333521432163324,9.828743801906706e-13
0.00014962356560944327,1.1291477073537384e-12
0.00016788040181225605,1.2852102645505354e-12
0.00018836490894898018,1.4529610836387489e-12
0.00021134890398366476,1.6336069560701159e-12
0.00023713737056616554,1.82700601254266e-12
0.00026607250597988083,2.035206127163716e-12
0.000298538261891796,2.258367070667047e-12
0.0003349654391578279,2.4982464355556826e-12
0.0003758374042884443,2.7512305731400898e-12
0.00042169650342858224,3.0197487192415482e-12
0.0004731512589614803,3.2982946293787685e-12
0.0005308844442309884,3.594901838752727e-12
0.0005956621435290109,3.908108155383956e-12
0.0006683439175686148,4.246005238930235e-12
0.0007498942093324559,4.613100229162901e-12
0.0008413951416451947,5.01366898959406e-12
0.0009440608762859236,5.452172121680914e-12
0.0010592537251772885,5.930981585249913e-12
0.0011885022274370188,6.462214083134965e-12
0.0013335214321633238,7.038771831601499e-12
0.0014962356560944343,7.665577304082562e-12
0.0016788040181225606,8.351444007466297e-12
0.0018836490894898002,9.069912272035655e-12
0.0021134890398366475,9.84712981954962e-12
0.002371373705661655,1.0672334814449174e-11
0.002660725059798811,1.1536542129430896e-11
0.0029853826189179603,1.2468293966823155e-11
0.003349654391578279,1.3479707166282568e-11
0.0037583740428844435,1.4566728974955032e-11
0.004216965034285822,1.5724118588685967e-11
0.004731512589614808,1.6932914791978153e-11
0.005308844442309884,1.814051793418055e-11
0.005956621435290109,1.9251286096132198e-11
0.006683439175686148,2.0217292207943806e-11
0.007498942093324559,2.0927386891254765e-11
0.008413951416451956,2.129841006446899e-11
0.009440608762859235,2.1342537488489464e-11
0.010592537251772897,2.100460834810296e-11
0.01188502227437019,2.0608796233119136e-11
0.013335214321633239,2.0006601313764463e-11
0.014962356560944343,1.936113810100535e-11
0.016788040181225605,1.8954242296730274e-11
0.01883649089489802,1.8348266382497202e-11
0.021134890398366475,1.741835710117404e-11
0.023713737056616554,1.6203620577577666e-11
0.026607250597988113,1.4555587351147545e-11
0.029853826189179603,1.2993213019482118e-11
0.033496543915782793,1.0856278268213721e-11
0.03758374042884443,9.342697086033761e-12
0.042169650342858224,6.977661301990776e-12
0.04731512589614808,3.91182456487832e-12
0.053088444423098846,2.642355312454425e-12
0.059566214352901097,1.1902568245867982e-12
0.06683439175686148,4.4341947958227766e-13
0.07498942093324558,1.7102643774893014e-13
0.08413951416451956,1.8129663346857815e-14
0.09440608762859236,1.4799485458282377e-14
0.10592537251772897,9.96247302318827e-16
0.11885022274370188,0.0
0.1333521432163324,0.0
0.1496235656094433,0.0
0.16788040181225622,0.0
0.1883649089489802,0.0
0.21134890398366477,0.0
0.23713737056616552,0.0
0.2660725059798808,0.0
0.29853826189179633,0.0
0.33496543915782795,0.0
0.3758374042884443,0.0
0.4216965034285822,0.0
0.47315125896148025,0.0
0.5308844442309889,0.0
0.5956621435290109,0.0
0.6683439175686149,0.0
0.7498942093324559,0.0
0.8413951416451965,0.0
0.9440608762859245,0.0
