f,Om
1.0592537251772897e-05,4.0136694776322006e-15
1.188502227437019e-05,4.789251054316809e-15
1.333521432163324e-05,6.060792181079856e-15
1.4962356560944327e-05,7.440740083616295e-15
1.6788040181225588e-05,1.0252689076434507e-14
1.883649089489802e-05,1.3054212027939624e-14
2.1134890398366476e-05,1.939004202044028e-14
2.3713737056616554e-05,2.5529078470549303e-14
2.6607250597988085e-05,3.2525489379628045e-14
2.985382618917957e-05,4.6721539353810505e-14
3.3496543915782794e-05,6.485505670200566e-14
3.758374042884443e-05,8.614054051627503e-14
4.216965034285822e-05,1.1525400641589738e-13
4.731512589614803e-05,1.560191717010495e-13
5.308844442309879e-05,2.029808617729881e-13
5.9566214352901096e-05,2.5954787862504424e-13
6.683439175686149e-05,3.286063395269123e-13
7.498942093324559e-05,4.10076223380209e-13
8.413951416451947e-05,5.030172987828502e-13
9.440608762859227e-05,6.074660977212445e-13
0.00010592537251772897,7.211993029304164e-13
0.00011885022274370189,8.456088755295252e-13
0.0001333521432163324,9.791689854504033e-13
0.00014962356560944327,1.1252134747967016e-12
0.00016788040181225607,1.281775496273137e-12
0.0001883649089489802,1.449791793042636e-12
0.00021134890398366476,1.6307865284299737e-12
0.00023713737056616554,1.8248215210180656e-12
0.00026607250597988083,2.033158302398289e-12
0.000298538261891796,2.2566649157346048e-12
0.00033496543915782794,2.4967794488580815e-12
0.0003758374042884443,2.749865251690044e-12
0.00042169650342858224,3.01858013515818e-12
0.0004731512589614803,3.297318945478585e-12
0.0005308844442309885,3.5941152699489078e-12
0.000595662143529011,3.907500208688003e-12
0.0006683439175686149,4.2454755018047195e-12
0.0007498942093324559,4.612671191413969e-12
0.0008413951416451947,5.013337861903401e-12
0.0009440608762859235,5.451892048667063e-12
0.0010592537251772887,5.9307442021177704e-12
0.001188502227437019,6.462038694164743e-12
0.001333521432163324,7.038747781642616e-12
0.0014962356560944343,7.665449213688916e-12
0.0016788040181225606,8.351337213391573e-12
0.0018836490894898002,9.069830079372673e-12
0.0021134890398366475,9.847064216466116e-12
0.0023713737056616554,1.0672271806144714e-11
0.0026607250597988114,1.1536491488374048e-11
0.0029853826189179603,1.246825371433525e-11
0.0033496543915782794,1.3479675147699216e-11
0.003758374042884443,1.4566703463163836e-11
0.004216965034285823,1.5724098167174144e-11
0.004731512589614808,1.693289831014817e-11
0.005308844442309885,1.8140504429834558e-11
0.005956621435290109,1.9251274937290692e-11
0.006683439175686149,2.0217282802586107e-11
0.007498942093324558,2.0927379134789108e-11
0.008413951416451956,2.1298403625346006e-11
0.009440608762859235,2.1342532552307544e-11
0.010592537251772897,2.100460481783589e-11
0.01188502227437019,2.0608793949295556e-11
0.01333521432163324,2.000659997525454e-11
0.014962356560944343,1.9361137131005252e-11
0.016788040181225608,1.8954241616202742e-11
0.01883649089489802,1.8348265904539106e-11
0.021134890398366475,1.74183567775124e-11
0.023713737056616554,1.6203620371374422e-11
0.026607250597988113,1.4555587221685498e-11
0.029853826189179603,1.2993212941387964e-11
0.033496543915782793,1.0856278220116212e-11
0.03758374042884443,9.342697061172638e-12
0.042169650342858224,6.9776612960698075e-12
0.04731512589614808,3.91182456153283e-12
0.053088444423098846,2.642355311451462e-12
0.059566214352901097,1.1902568246349135e-12
0.06683439175686148,4.4341947948365874e-13
0.07498942093324558,1.7102643770994557e-13
0.08413951416451956,1.8129663338807638e-14
0.09440608762859236,1.479948545188788e-14
0.10592537251772897,9.96247302318791e-16
0.1188502227437019,0.0
0.1333521432163324,0.0
0.1496235656094433,0.0
0.16788040181225625,0.0
0.1883649089489802,0.0
0.21134890398366477,0.0
0.23713737056616552,0.0
0.26607250597988086,0.0
0.29853826189179633,0.0
0.33496543915782795,0.0
0.3758374042884443,0.0
0.4216965034285822,0.0
0.4731512589614803,0.0
0.530884444230989,0.0
0.5956621435290109,0.0
0.6683439175686149,0.0
0.7498942093324559,0.0
0.8413951416451965,0.0
0.9440608762859245,0.0
