z,freq_0,freq_0_nums,freq_1,freq_1_nums,freq_2,freq_2_nums,freq_3,freq_3_nums,freq_4,freq_4_nums,freq_5,freq_5_nums,freq_6,freq_6_nums,freq_7,freq_7_nums,freq_8,freq_8_nums,freq_9,freq_9_nums,freq_10,freq_10_nums,freq_11,freq_11_nums,freq_12,freq_12_nums,freq_13,freq_13_nums,freq_14,freq_14_nums,freq_15,freq_15_nums,freq_16,freq_16_nums,freq_17,freq_17_nums,freq_18,freq_18_nums,freq_19,freq_19_nums,freq_20,freq_20_nums,freq_21,freq_21_nums,freq_22,freq_22_nums,freq_23,freq_23_nums,freq_24,freq_24_nums
0.2,351.6001673780958,1.0750015382121522e+18,701.3851026989581,7.197137321327274e+17,2153.2724497507857,5.6965189630722886e+17,10750.443460047622,8.054977741048754e+17,30401.576917727238,7.45007201939057e+17,63233.66825102155,6.479436523623473e+17,95258.77451695297,3.789606739447774e+17,117177.42824536488,1.732457559476555e+17,134283.68385759965,7.409061133514477e+16,142730.96013720072,2.5957822001656564e+16,145032.4637772955,7835309796485977.0,146885.08943310758,2346951211266533.0,153136.5405598391,756459522878731.5,153185.9862885116,221598439034619.12,139129.19181359856,47830865532458.54,89602.63419619386,2557165856524.1367,71829.5519432116,390854668556.0302,48069.77487259119,52558032652.98664,3055.8330149994763,530318734.36097014,53.55184545186068,1758734.9068453778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6000000000000001,357.4727565440167,2.5940072923616026e+18,975.9775742960976,3.502454160197167e+18,3651.7304931323424,4.472337619100829e+18,13511.272066633364,3.2687512856570593e+18,35652.76042121846,4.1053566745264425e+18,61384.73008570763,2.773348693700259e+18,82987.32052274782,1.4050687859630966e+18,97803.96792880181,6.168651809173806e+17,108956.84732365204,2.4354557217332182e+17,112088.4892098674,7.559040687952475e+16,113288.65311590765,2.2734618196172636e+16,120013.35235676623,7829173607688928.0,121949.23879758388,2384009583182512.5,121807.67433894685,695338539325142.4,94098.24706762345,75864437093356.33,69887.48437255461,8762979586524.416,45894.936174187904,973953739550.9476,7776.447623956728,29040157284.9466,66.35312502853182,36792974.716970675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,444.0008737629902,4.402821151335777e+18,948.488094750397,4.781943079000397e+18,3505.1657247677817,4.64309996752877e+18,12667.857651900755,5.013376041236977e+18,28688.394411841477,5.135042260399781e+18,47181.42958885373,3.3080196688262067e+18,60117.78791724311,1.5819714741433946e+18,69796.37825783649,6.681988473694157e+17,74501.12462319741,2.2865372705118976e+17,76330.27591753268,7.008194785280023e+16,78371.70207181663,2.181140811414504e+16,83100.11844292191,7468308303390151.0,83175.25426343962,2188657665190253.2,79181.17950510948,541929537101517.6,56883.20242007357,52568004604440.02,39734.61682324815,6272505619592.166,15312.595068869581,418579677633.4576,386.8047145566909,1839174834.3348618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.4000000000000001,135.59516389871192,1.5895377642726838e+18,507.5358300743075,2.5943059416849746e+18,3561.0335892402645,4.0049312771647703e+18,9349.856779685702,5.119031007542056e+18,19204.549813976068,4.0946396821021773e+18,29295.17999247995,2.522483994276305e+18,35329.31957953219,1.0747112882988954e+18,40406.41706060914,4.372482486657383e+17,42352.03352730176,1.4036543056486373e+17,43184.43425539335,4.310706287408124e+16,45553.18075332342,1.4157438382962836e+16,47241.08379767167,4477186195271447.5,47287.0090135435,1310887349198574.2,42754.39303416581,273745430614358.38,30715.67711832513,29802234273478.258,19424.598746958094,3193242268786.773,1584.6811676299071,40197379473.92797,28.78861197820707,112825218.41156077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.8,70.55953822707907,1.469839055966391e+18,531.2970897735473,2.5218497880082284e+18,2119.6646642535393,2.852762629435115e+18,5979.985066212016,3.368004103922717e+18,11306.11967196605,2.6975197903316157e+18,15263.156582279964,1.3477648071854095e+18,18050.57630871648,5.607732039804676e+17,20056.66045134515,2.1069872816266166e+17,20933.93118379726,6.707069041339901e+16,21373.21745283455,2.0750884415078196e+16,23383.359672849074,7286626486965924.0,23468.827036547224,2150198560076209.8,23427.7940840237,622868573750434.9,17996.252388220517,78853565204076.1,14276.481548208218,12362283608947.846,8062.561963213231,1338010474636.727,341.7253190841678,8766710910.91924,9.20490132878393,40010806.69396719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.2,124.58833041554573,2.1787518905208643e+18,299.27123230013694,1.2495968284488092e+18,1349.0543645602568,1.9931263955957304e+18,3383.5752822462105,2.0895702115815265e+18,5895.388828750085,1.4491909813603139e+18,7342.3509041960715,6.183332225301078e+17,8677.989191792893,2.5902880407876006e+17,9357.285733714563,8.953251114704022e+16,9743.341512395766,2.8770838117286864e+16,10091.565517858242,9242280573387956.0,10948.797783455875,3199919792628448.0,10973.421320992516,939104926094304.4,10779.417987506671,256912513311976.12,8269.62636298247,31798969190526.58,6248.321044139046,4824907463917.41,1520.714346721325,204148598785.05978,65.91762407750507,1606678522.9405565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.6,56.35241281132531,9.792561395748339e+17,319.05713674812745,1.2437788081181448e+18,841.2567018975035,1.303801465255604e+18,1833.5121021665202,1.1407962151459688e+18,2877.8744654942343,6.780794146957797e+17,3455.4857595951394,2.6073638790029827e+17,4100.768734180956,1.1088245146236021e+17,4379.551233370898,3.752025635928477e+16,4503.289339369306,1.1898521399127762e+16,4733.856238738161,3982930127576881.0,5085.512857288062,1365185765851167.8,5097.291302018078,400248400535581.3,4943.76978099865,103960450518248.62,3824.836503025872,13127751546941.68,2736.0317406443646,1960067881695.1833,169.21732088751688,16306954957.521805,15.642613876211762,380342606.8313211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,26.779430179703066,4.154023084678608e+17,164.33558415680048,6.847317120382144e+17,509.4079016583804,7.722345969496868e+17,990.6039746337225,5.9001144056677e+17,1369.8575281161316,2.8354992585230717e+17,1706.9740428071116,1.1653566146957814e+17,1984.592608355933,4.8215752667340824e+16,2107.3172126078043,1.6174479990564096e+16,2154.37720493902,5112286458432810.0,2342.104325911027,1860341743515644.8,2433.4972971594834,595490806527255.2,2441.636870380688,174441219972735.8,2283.4648978441965,40147060967796.0,1828.5016497067163,5765165620108.795,1162.8798846539773,778361027155.8002,66.34829588969367,6149016374.96346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.4000000000000004,27.523076864613717,3.6038339014903795e+17,99.81884115943765,4.199187902372802e+17,294.53294076617345,4.606133372084383e+17,541.3153699012076,3.1176630342325075e+17,708.0911612681383,1.320517978227443e+17,867.877203311531,5.5946751710206504e+16,990.9575109598744,2.1699244095777284e+16,1047.4322716150245,7260601355733691.0,1069.4647804525425,2293690499370735.0,1194.9600814310536,898310989730446.1,1201.785498006078,265829834298890.94,1203.5215840735555,76928974805647.28,983.5820114879174,11254486608931.586,882.0222734053981,2536756210813.9272,477.3205430835986,294481502318.7737,24.063886289039843,2098317884.2185695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.8000000000000003,14.119118314526352,1.825957616508413e+17,65.3162773980734,2.861770449919658e+17,167.26425021030084,2.4866881878877955e+17,296.10147526611513,1.6280163625213952e+17,371.59982722968687,6.657775978866077e+16,461.64208435804636,2.8238592803431844e+16,512.6396837433409,1.0201134354667448e+16,539.1403931722228,3338212247185132.5,549.6213279934695,1054739392700136.0,611.4381862930242,411769808970901.56,612.6411419549344,120947564037668.53,609.0432070100475,33800741875649.574,511.9306768233889,5417201974264.568,441.6825199349872,1162032252800.406,139.33099626198478,72154217170.06146,8.804410548672214,692338897.683665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
