z,freq_0,freq_0_num,freq_1,freq_1_num,freq_2,freq_2_num,freq_3,freq_3_num,freq_4,freq_4_num,freq_5,freq_5_num,freq_6,freq_6_num,freq_7,freq_7_num,freq_8,freq_8_num,freq_9,freq_9_num,freq_10,freq_10_num,freq_11,freq_11_num,freq_12,freq_12_num,freq_13,freq_13_num,freq_14,freq_14_num,freq_15,freq_15_num,freq_16,freq_16_num,freq_17,freq_17_num,freq_18,freq_18_num,freq_19,freq_19_num,freq_20,freq_20_num,freq_21,freq_21_num,freq_22,freq_22_num,freq_23,freq_23_num,freq_24,freq_24_num
0.2,4104.539653678021,3.130125335243364e+16,5579.641331300505,1.1172738824652364e+16,7434.639406115645,4869273551547837.0,9823.659760360983,1812637470054286.2,12592.209266210742,679709877010103.5,13124.343130124695,251352890745728.22,10474.513053182936,86048315370146.17,8355.772272659317,30026794937392.504,5290.848381740399,7338416490671.213,1383.638900858597,443661464585.6219,576.4003121155384,47195473790.53457,3630.102697583589,105704044686.27211,23.732445491911314,88580385.82230598,34.516555202462285,4897227.027857035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6000000000000001,3912.966608706629,9.0878769245553e+16,5301.503230129686,3.47974398769402e+16,7628.417314281815,1.3852236169222162e+16,10657.225489583705,6154581638960655.0,13556.474260016126,2918715003816421.0,11913.183294910517,958772147578505.9,7563.868328061267,268660681245945.9,6535.371499391038,99415460496033.48,1804.2447875136459,7880624377992.765,730.7965778234092,883482778849.2638,2689.5013447906913,964550180023.4772,1744.4137319153795,256421398586.2824,44.353224806574445,218751658.7147105,19.198088486301433,12167855.92266852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,3703.4867868873275,7.471778330300312e+16,5477.848762553814,4.048378062896852e+16,7654.232883511715,1.408716855627723e+16,11098.659488841236,8549558106427810.0,11005.870620084692,3140561519207683.0,7570.836854699082,965256089925547.5,5160.474536473698,275814649160767.9,3111.152344235282,65708667526940.46,1132.0947537370032,4800063623480.781,705.6488638319294,1231267748324.825,2951.962601805383,1731839644482.1008,35.20856998486239,3632004526.2103925,18.00709675944477,98732878.51502168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.4000000000000001,3047.8479136183805,5.714470976519895e+16,4652.737246383718,2.8745638114632096e+16,6344.485023726469,1.2067342267964938e+16,8394.576407194725,6848474422401928.0,7664.2711632425935,2543950784968369.5,4215.371877173896,598008834422435.2,3287.8096343426996,201220267697242.94,1246.9209353906679,23832122822726.86,556.5336241501317,3290029366964.3667,981.5951211037536,1472145556527.5173,1436.7081735301374,824612746563.6619,30.2619340650009,978220785.8185407,13.92301898879169,56316520.89122872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.8,2123.636312798309,3.7502904806475544e+16,3450.7682764306355,1.5496478469067184e+16,4788.330910388949,8726433349620029.0,5064.717090160144,4102876685437194.0,3787.067018469457,1400643473573721.8,2066.9906797928015,292638412706422.4,1497.4530732822163,90442689275598.25,581.5755245905328,8816866639318.984,227.84492516988215,1471782489822.5615,932.4963347251161,1425710672879.0957,69.38039081834256,45754825610.33876,17.851447143485224,298758812.70757097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.2,1483.0723681344286,2.4624917434282424e+16,2464.904659671057,9457185996831674.0,2995.0526893385736,5405734435049059.0,2839.1169383582674,2325369671285063.0,1609.095079505267,568109880432882.6,986.7045480437456,129699147186037.31,540.4316927753054,29570382668502.09,278.08008099231154,4473769810534.551,130.76417047295385,740595509031.8328,533.3358262113186,771595639089.0024,11.043892838080792,4468351498.080307,7.415462266018316,199788550.9199886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.6,950.1337885285238,1.3623118229058116e+16,1471.069034473983,5802541127343451.0,1658.9192202366012,2981121847863120.5,1434.32142894245,1165705257603275.8,693.8157344657793,211859248725492.1,506.69967826072315,64206909644616.164,195.7531866558942,9374645917731.006,92.91896467610084,1585505608908.0334,95.65958787670382,509361787994.26245,278.37886051328667,438949023114.2645,6.816678295241097,781351050.5770957,6.755760653285787,211285300.29437482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,659.3209328616534,7879746697209677.0,858.7836643054595,3384736938942022.5,895.3545963493345,1645308170671250.5,671.5719911762199,546176754599952.25,349.95600865525665,89913113498925.75,228.6805593701602,28497723742692.07,87.11154370062512,3593989625657.6035,37.22661031764099,684611072629.9366,69.12500961960467,336238288246.39825,82.63779000146654,139747678648.38647,6.108839528555043,774954681.2835352,2.8136485865580005,49755422.5866446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.4000000000000004,423.7305045645561,4601438803452907.0,540.3073614631747,2209015290741061.2,488.6371764276431,880370157326267.9,300.32772016074256,215861696044672.3,157.4458359206842,38069255741540.76,108.96647480140628,12074999964797.549,43.274354983035444,1563686107772.383,14.70324515929734,261582911675.75394,47.694720959536845,203354379365.71313,5.082516796472111,7157536687.034082,2.474121595792224,141498424.8324019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.8000000000000003,286.60375940524546,2960881069056031.5,322.4838770208481,1308328869163702.2,264.647552638402,457464431864527.44,137.2117036006329,80044566494904.16,83.06192553555807,17211924643620.555,49.232517638925664,4862688343332.884,22.51606066837681,724621127078.0594,6.417352924599776,108621768664.91995,30.74547144538731,116233898910.36734,0.639066707333271,493821547.50583625,2.1997965242140785,138936861.59595576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
