z,freq_0,freq_0_num,freq_1,freq_1_num,freq_2,freq_2_num,freq_3,freq_3_num,freq_4,freq_4_num,freq_5,freq_5_num,freq_6,freq_6_num,freq_7,freq_7_num,freq_8,freq_8_num,freq_9,freq_9_num,freq_10,freq_10_num,freq_11,freq_11_num,freq_12,freq_12_num,freq_13,freq_13_num,freq_14,freq_14_num,freq_15,freq_15_num,freq_16,freq_16_num,freq_17,freq_17_num,freq_18,freq_18_num,freq_19,freq_19_num,freq_20,freq_20_num,freq_21,freq_21_num,freq_22,freq_22_num,freq_23,freq_23_num,freq_24,freq_24_num
0.2,351.6001706585382,1075001545176574.4,701.3935213877954,719745345372866.9,2153.272401482225,569651880050145.0,10750.44333600462,805497753722938.0,30401.576669674894,745007192551531.0,63233.66804184978,647943644377932.8,95258.77421466714,378960670204753.25,117177.42780349728,173245753892384.03,134283.6833620031,74090610598867.86,142730.9596911033,25957821769820.777,145032.46332841346,7835309728660.993,146885.08899498187,2346951192346.6436,153136.5402050776,756459517502.1625,153185.9859623835,221598437608.62024,139129.19168455587,47830865402.03432,89602.63420538776,2557165862.8726377,71829.5518641428,390854668.7861904,48069.77466644343,52558032.400818005,3055.8329489094194,530318.7222549431,53.551845489576756,1758.7349080840393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6000000000000001,357.47274720672834,2594007187197493.5,975.9775242618889,3502454041506780.0,3651.7304226123424,4472337499733930.5,13511.271942741225,3268751216110186.5,35652.76010354917,4105356615589831.5,61384.72949970473,2773348629355323.5,82987.32381508312,1405068982238773.8,97803.9673965804,616865170927937.0,108956.84673773451,243545568312379.25,112088.49410725699,75590413621575.53,113288.65496135126,22734620726322.605,120013.3518212308,7829173504466.128,121949.23950380874,2384009599543.6646,121807.67577183957,695338551840.0057,94098.24694741063,75864437242.88823,69887.48419025714,8762979590.888258,45894.93588608969,973953734.3703591,7776.447396789112,29040156.33469129,66.35312563213476,36792.97505167003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,444.00086702682216,4402820909916619.5,948.4880816293679,4781942936158045.0,3505.165609364418,4643099737001619.0,12667.857368369143,5013375879073171.0,28688.39386830773,5135042064399585.0,47181.42910180531,3308019601689651.0,60117.78731996145,1581971443247574.8,69796.37758088415,668198834079452.0,74501.12483697047,228653744553857.88,76330.27615877335,70081951043656.16,78371.70136946914,21811407695266.586,83100.11997531826,7468309433242.354,83175.2535406139,2188657618105.8896,79181.17895768657,541929528671.1752,56883.202092027066,52568004451.52545,39734.61652983449,6272505583.970125,15312.594829371083,418579671.01465315,386.8046987243038,1839174.7569631534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.4000000000000001,135.59515170763487,1589537604753461.5,507.5358038712484,2594305766733010.5,3561.0334645511707,4004931099013544.0,9349.85643089207,5119030727243614.0,19204.549207017375,4094639498843946.5,29295.182124070245,2522484088730797.0,35329.32229042054,1074711277997436.9,40406.41588869218,437248228089808.7,42352.032350775466,140365424293714.53,43184.43328044434,43107061525963.98,45553.179511322545,14157437746426.31,47241.08345339063,4477186584064.678,47287.00949206262,1310887615168.182,42754.392346257984,273745436767.22485,30715.676441911328,29802233530.732773,19424.598335714574,3193242207.8951306,1584.6810741009742,40197376.74584979,28.788610676121248,112825.21330856672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.8,70.55952865396465,1469838861394827.0,531.2970467501626,2521849523604343.5,2119.664504009322,2852762372996376.5,5979.984685053386,3368003831381954.5,11306.11896888199,2697519568769987.0,15263.155584836086,1347764679231417.8,18050.57510637047,560773147763065.8,20056.659667826392,210698722179352.84,20933.930331677067,67070694924257.336,21373.21610092733,20750882510678.754,23383.358254657924,7286625857420.046,23468.82561590449,2150198373081.6152,23427.792675741108,622868520000.5477,17996.251374931482,78853559392.77406,14276.480850293245,12362282932.705215,8062.561561515935,1338010414.2048237,341.7252977156695,8766710.325817456,9.204900410300935,40010.802701610926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.2,124.5883178736894,2178751675019127.5,299.27119253278954,1249596624935098.0,1349.0542107163542,1993126141291181.0,3383.575696718222,2089571111216924.0,5895.388157905641,1449190759245388.8,7342.353075447406,618333473323026.0,8677.988599692362,259028777309723.28,9357.285158513232,89532505150903.86,9743.340563842843,28770835044144.633,10091.566872304502,9242285405704.215,10948.799211799129,3199920450095.64,10973.422362845165,939104854792.0531,10779.419134348329,256912496825.2639,8269.627860141718,31798970959.6223,6248.322841047401,4824908779.541529,1520.7141456928323,204148572.26378503,65.91761677845291,1606678.370892411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.6,56.35240422165094,979255968853727.2,319.05708482088346,1243778599119134.8,841.2565641812258,1303801216271860.2,1833.512353715366,1140796164500169.5,2877.874876991868,678080056651983.4,3455.4856277718836,260736547201491.8,4100.769831874543,110882488494935.06,4379.550848471358,37520264031765.86,4503.289818360141,11898523533577.057,4733.855626021826,3982929422492.3257,5085.512717158425,1365185690366.514,5097.291391883766,400248400316.33777,4943.769983297648,103960456250.41017,3824.83695669861,13127757310.64681,2736.031354902903,1960067612.6304917,169.2172934498524,16306952.17151439,15.642613299217908,380342.5919451996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,26.779424627015903,415402213517058.8,164.33554088474804,684731530219778.0,509.40778731586147,772234400673657.4,990.6037379995483,590011266129982.0,1369.858078711623,283550669552058.56,1706.974597613347,116535717706478.72,1984.592849567114,48215784786944.87,2107.318114743575,16174488936582.502,2154.3769993186806,5112288500294.429,2342.104062755341,1860342150892.455,2433.496735244273,595490637262.1127,2441.6363543938783,174441171245.62836,2283.4644534677777,40147050668.61945,1828.5013432856208,5765164469.377885,1162.8797129679597,778360899.4627255,66.34828213448365,6149015.083146625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.4000000000000004,27.523068439794887,360383277255419.9,99.81881374528972,419918667541599.0,294.5340701245145,460614624164026.6,541.3154539883676,311766699799696.6,708.0910972091829,132051832815539.25,867.8780066987125,55946795295673.15,990.9599428044206,21699293597888.4,1047.4331042080858,7260611098072.262,1069.4654120630323,2293693785913.468,1194.961766236802,898312730957.6725,1201.7875984830653,265830350343.10648,1203.5234812061149,76929064019.67316,983.5838256738283,11254506885.752298,882.0236392110377,2536758233.032718,477.3220191474268,294482228.0403728,24.06388250898051,2098317.549921559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.8000000000000003,14.119111804475418,182595668566638.72,65.31624713182578,286176909543496.0,167.26418136878243,248668710031677.1,296.1015002793048,162801684696069.3,371.5996776851189,66577732028506.33,461.64190720081154,28238581255698.45,512.6409799690201,10201216369483.932,539.1406383357345,3338215699812.6206,549.6213974487096,1054739506814.9141,611.4385410635855,411770009229.3002,612.6410085441719,120947560793.84589,609.0431011162376,33800745024.98538,511.9304829185391,5417199730.911605,441.68235712225,1162031802.7463562,139.33093599546928,72154183.84575781,8.804409153297154,692338.792406656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.2,11.484076413180885,134833060443603.83,39.98809642446096,163908143259635.53,92.14223584707355,129816405773275.44,161.127420644479,81727107734162.28,201.8547565172198,34288717013879.18,252.47534831266972,14875276796293.29,270.8707094261935,4954318449570.293,281.3599316690239,1569284847020.9126,286.7330252170394,492190380738.92896,316.8197919396033,191283560559.67752,318.5805527680383,56257408752.20366,315.3256559261494,15475533606.3564,269.0176403077748,2632999748.3397474,220.41411179061387,526581131.17505807,22.637228869032587,7800629.759169969,4.366831698061792,345572.2049842679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.6000000000000005,10.5175738759675,114697606229099.5,29.299143362749906,109011807701345.27,53.73684678021665,72751033917417.44,84.70089455957827,41205916387303.9,102.03702164334125,17060119744743.531,130.13625676361735,7647749381907.669,139.81778636146873,2403667566053.663,143.73507789337577,746007825077.3584,146.67353698207668,231666897274.01416,160.56093647487248,88061196130.48744,161.57898730098867,25894059099.025505,159.40766269965343,6958650355.023712,138.0522707669356,1252091827.7303953,104.23768141340074,224387268.81514817,8.621936792211125,2496505.92299157,1.4767022554272824,108891.83954523683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,4.266528667865317,41492712127297.516,15.040352046373389,52636304791764.82,32.089595160426775,39755549995341.71,38.99293413551177,18159141706973.0,54.169043945092305,8654009960283.583,70.91718701128963,3952187972890.1733,75.0841646812188,1226138253763.0593,75.92189914758931,367704282144.8546,78.26877029387079,116569613611.82442,82.41334008661704,39496436629.39953,83.14551484497999,11654750261.939041,80.81905335844894,2931204098.3935494,71.9892829102319,586544205.812782,49.23203423087689,94017348.01956697,5.127914035275907,1420170.6481945254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.4,1.6974186135072227,17936218439239.43,8.765567239410656,28728734861134.543,16.925942955933394,21528606733333.535,18.320125188932437,8156388042906.654,29.11518115028701,4494445370767.054,37.54979591767902,1991203694454.5215,39.848982514064524,617344362615.5521,39.78361859894288,181107406240.93018,42.11411387242467,61681756294.58572,43.46643587917368,19625797534.472797,44.09919029131758,5818471597.060353,42.12747096729265,1366483395.3512635,37.68502819055649,273995360.3847075,21.103643260723054,33556119.82936059,2.9482644256059483,773505.9699196864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.800000000000001,1.784143910215893,18384191777580.51,3.5497133252051998,11549532810279.57,8.04376237860389,10291279252721.672,9.848917506269434,4118374703778.4434,15.317318053131899,2319498019152.9106,19.820218606711,948684414447.3971,21.283564380521565,295462908678.88324,21.30278675454947,86925804998.50385,22.899391273140644,31463930721.51822,23.588577404662807,9830382584.729599,23.872805032950815,2899678587.074936,20.58074745079632,460854671.9002879,19.709251265512652,123156147.50934567,9.11143816110344,11975848.079306388,1.7401838930623377,431259.7807791636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.2,1.3170988491259994,12043094609966.893,2.431083567991678,7619363893248.166,2.6167128174115586,3226826129118.5312,4.6313524624219315,1918395861221.329,8.408908564146135,1129665940281.8594,11.516536408617842,477390858127.7849,12.076733460885254,144342592050.98328,12.168171370907851,42651729149.31012,13.004372028506848,15432071633.65039,13.160755259410413,4583488668.415893,13.460742965768588,1347774417.0640535,12.01185250694374,244811117.1370582,11.146027385300751,61270785.0099888,3.630729245417466,3807162.040009598,0.8271102786206648,179821.30822935313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.6000000000000005,0.15418999118653973,1468571909952.7173,1.160121879987732,3297302364308.6387,1.1331958742861115,1329561460494.1497,1.9009802154593345,846884343663.7622,4.711951058705961,542414750964.32587,5.720376593951272,165835393766.05856,6.042806640372712,50567523752.52697,6.039976403383986,14754533369.554874,6.34471040116893,5220171560.894613,6.4038176736733305,1551059733.405468,6.597267365584183,463576134.8555101,6.3695623927970235,114130287.3559944,5.806904805503681,27114632.40004319,1.5154400222061708,1278205.9877836478,0.5972725654762163,125141.58969512593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,0.08993887914039848,578719892592.1246,0.19772504167194002,509547941341.4509,0.33568376014697165,285508901055.81366,0.9049700241000539,226426107052.40887,2.3002523532370045,172621259657.62933,2.7301652010017947,65905568116.65691,2.779963455792838,21505813834.48405,2.818720585670161,6422472901.151781,2.8564294270373485,1935656051.175088,2.9778674190394963,593831941.2407631,3.0432174624431725,177375629.17048815,3.043138023877141,51945525.47866862,2.670215413734475,11633263.702457739,0.6025605751194865,426851.91222147725,0.27628484277358,52306.50857056573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.4,0.0,0.0,0.0,0.0,0.0,0.0,0.21297565130500823,31985180948.951714,0.31026349755370486,17429645894.307045,0.2024134437286269,2811565931.449426,0.153534290584539,465697826.7429098,0.1532180010822908,136105103.38573843,0.15312553644816462,39836268.59079481,0.21092991257999782,19536355.32246708,0.21091798494170774,5721167.747708867,0.21091449193459316,1675497.8369413584,0.21091346897190255,490691.2892632459,0.1530872983073746,85803.185168997,0.07916882678139614,12533.382533882657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.800000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
