z,T,freq_0,freq_0_num,freq_1,freq_1_num,freq_2,freq_2_num,freq_3,freq_3_num,freq_4,freq_4_num,freq_5,freq_5_num,freq_6,freq_6_num,freq_7,freq_7_num,freq_8,freq_8_num,freq_9,freq_9_num,freq_10,freq_10_num,freq_11,freq_11_num,freq_12,freq_12_num,freq_13,freq_13_num,freq_14,freq_14_num,freq_15,freq_15_num,freq_16,freq_16_num,freq_17,freq_17_num,freq_18,freq_18_num,freq_19,freq_19_num,freq_20,freq_20_num,freq_21,freq_21_num,freq_22,freq_22_num,freq_23,freq_23_num,freq_24,freq_24_num
0.023134810847050154,328.73946636386205,0.0426867357616433,846204671114.891,0.21577334734586806,1061416871636.1426,0.6771596198702746,1333232324429.4307,1.9280798805689165,1289937049109.297,3.4052661695992987,1021358047427.2706,4.586498270461087,550856545314.185,4.381046584907541,214834142509.7696,3.031627792910076,62575931284.73371,2.638565544669808,22196502371.693966,0.6732138073425216,1856961771.5210953,0.18300772847682356,80199695.39251663,0.7850418739899401,100799900.3376939,0.39330999043695525,18608834.166921105,0.012983422532504535,22235.163761942233,0.0055782258548174295,1241.2227768957482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.07187430628780886,986.2183990915862,0.05476176737009927,8575570252194.308,0.2598923925308267,10714270190249.047,0.8100570933090293,13704628337904.078,2.2475338911915994,12847114351920.584,3.962611502266405,10094181462640.5,5.025570711032366,5215573665930.851,4.562461058255218,1974854418892.4602,3.1674806299158056,579545540782.3309,2.6951750791150104,199693474675.15567,0.6322391911106384,14839584983.761526,0.19818077216829175,857204346.1637311,1.079039960292679,1333630617.320526,0.1952483489521134,75255527.4499855,0.010966146193785248,175482.43815170016,0.006876316099034602,14803.902663985598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.12427513622958618,1643.6973318193102,0.0662448503731719,26554963423355.21,0.3157191923021982,34580440915929.395,0.9787156243084102,42138165244623.06,2.5896091379066797,39414803805835.14,4.494957219737975,29543828645227.254,5.39588546538325,14793877645603.963,4.757200604577024,5580263030484.423,3.4346445800011987,1714166462103.616,2.629598642656976,526328171943.93384,0.6267140074396153,33845933462.328323,0.21255232419938724,2606929880.504146,1.3977623140552056,5147189218.1926775,0.056398751667350235,76926497.97931111,0.010677708088532141,192160.17340235692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.18086131904198985,2301.1762645470344,0.07935454232184673,58846909322673.164,0.37113187930992414,76099349852198.23,1.2060917248388883,93963999512475.8,3.034861428471084,85413262464435.31,5.137399437175488,64806078956426.94,5.834129845391442,30539641897485.727,4.8056369841626845,10765062405821.168,3.8190995134735375,3717539283102.0083,2.547903890366952,960674998268.5253,0.6432177991651546,56721168035.2051,0.2588936967264049,5498444051.333936,1.6202086549313037,12477336557.223978,0.015134418926376902,28815612.611937955,0.014707609515602975,549172.5814113538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.24227487685581683,2958.6551972747584,0.09351952338191719,104932565380943.97,0.4157888743427603,141909973270042.2,1.447353794949482,177082511959337.7,3.518116836647226,150652959179093.16,5.931961791178087,119272654250354.03,6.38789249131325,50082896837935.61,5.067715003322514,18305761255673.242,4.197870204998391,6571307559144.441,2.3651460752158657,1451762565840.5715,0.6257707828451279,83125011216.01239,0.33578810025114114,10952089834.416096,1.8780129101726923,24400478054.977753,0.014424074636028008,23339536.13301135,0.007508028570732806,636699.4279342899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.3093114408547175,3616.1341300024824,0.12413541908659691,173601364993997.53,0.4916252852061093,242326073836616.7,1.7705828750787378,300399864904544.4,4.245321348085847,248667903452520.16,6.9529096604031535,201891248190146.2,6.878737266488768,76592416233147.02,5.141768602053278,26751025508573.56,4.531890681094986,10307534472408.24,2.0308208890832935,1784632759915.4722,0.6122272614063425,100606194625.45488,0.4504567992739668,21950088253.396442,2.1710653567273517,43117506543.58797,0.02086497880766905,48997152.10071633,0.01071398979102588,1397862.74567449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.38296965930079163,4273.613062730206,0.1489266657134355,267073272467188.34,0.6161634988784573,392840073910277.75,2.17493445434598,476467323194343.1,4.9297195446360345,392798310393575.6,7.853074021829015,311734832170443.3,7.48863294918824,108584765275371.33,5.252141506351976,36128568379642.08,4.8632975630653155,14207861053770.049,1.8721238551589976,2146178300958.1548,0.5764585664998012,126769857061.34354,0.6996658139197465,40246650660.679596,2.322076705880807,63661527016.934425,0.01838747436078656,36985635.032250345,0.014698369657837046,2812669.7783787465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.46452115771308106,4931.09199545793,0.1957501771166278,408004814595754.1,0.7635442843202647,610351428476612.9,2.736014913023357,695360124511175.5,5.521741828206218,581060207794454.9,8.975060498592152,456316377041006.6,8.214798364802954,151587423098497.47,5.543096700643888,48402654247487.67,5.028560883780491,19044079949120.812,1.666660118478117,2149354294033.8027,0.5711163451410209,150522219128.25604,1.11708783543096,88238353748.48546,2.2097626050665946,78765082363.93262,0.020350978186629197,21007921.10010461,0.019672008127174845,5336152.779282281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5556119295735696,5588.570928185655,0.2787009405311788,639850113486175.2,0.9355661960818776,885007989049678.1,3.456339196014045,983633475392236.4,6.5874358984165875,854595838108949.9,10.143909038543207,630716077919660.6,9.065950812718516,210970105975522.47,5.815789110958415,60536071496473.15,5.194581724117266,24238448106282.992,1.5232566834021757,2148008337469.3645,0.5787142997505663,191232358886.64218,1.7629671903597086,182518098443.3043,1.7489749656285072,75905456459.34682,0.02986615660341481,41420027.235547796,0.013273506964763817,2330533.763842801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6584131213808755,6246.049860913379,0.35127710310128857,920133386620981.2,1.1662825161568604,1296887918774825.0,4.307740745059754,1337008538285821.8,8.21277939130278,1247885557119630.8,11.017781922641143,797898588300967.6,9.406921585965689,262776515738830.1,6.103867638513723,76545531985266.81,5.180501330631293,27339360455709.113,1.3429180116294102,1757210003606.358,0.5691973454574205,279360359130.6418,2.6373725020537484,340168690782.5473,0.8934194121882286,43051160947.31733,0.027663358198703202,50635447.875256196,0.017744597439329164,4279209.770494442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
