f,Om
1.122018454301963e-05,0.0
1.4125375446227555e-05,0.0
1.778279410038923e-05,0.0
2.238721138568338e-05,1.257349511965087e-16
2.818382931264455e-05,3.32783704829706e-15
3.5481338923357534e-05,2.4103654301219577e-14
4.466835921509635e-05,7.891960414399257e-14
5.623413251903491e-05,1.682654391690041e-13
7.079457843841373e-05,3.0171887293115763e-13
8.912509381337459e-05,4.862472722611519e-13
0.0001122018454301963,7.174806010107109e-13
0.00014125375446227554,9.881141113073224e-13
0.00017782794100389227,1.299350727539025e-12
0.000223872113856834,1.658751891563703e-12
0.0002818382931264455,2.07650797557672e-12
0.0003548133892335753,2.558464484209326e-12
0.0004466835921509635,3.102517297894272e-12
0.0005623413251903491,3.706637141649301e-12
0.000707945784384138,4.385448189989992e-12
0.0008912509381337459,5.177099259994743e-12
0.0011220184543019641,6.122437906358571e-12
0.001412537544622754,7.260231640244106e-12
0.0017782794100389228,8.615107604274619e-12
0.00223872113856834,1.0171747383875529e-11
0.002818382931264455,1.1924278056173813e-11
0.0035481338923357567,1.3886352112886588e-11
0.004466835921509635,1.605349434828155e-11
0.005623413251903491,1.811799837894063e-11
0.00707945784384138,1.95576036369174e-11
0.008912509381337459,1.9771261778250744e-11
0.01122018454301964,1.8962146125874077e-11
0.014125375446227554,1.7857466666622333e-11
0.01778279410038923,1.6604602713267515e-11
0.0223872113856834,1.4313166506638762e-11
0.02818382931264455,1.1169243326835348e-11
0.035481338923357565,7.473127638571436e-12
0.04466835921509635,3.3993386882774674e-12
0.05623413251903491,1.0498058073360556e-12
0.0707945784384138,1.4008530888798775e-13
0.08912509381337459,6.874819392743353e-15
0.1122018454301963,0.0
0.14125375446227553,0.0
0.1778279410038923,0.0
0.22387211385683423,0.0
0.2818382931264455,0.0
0.3548133892335753,0.0
0.4466835921509635,0.0
0.5623413251903491,0.0
0.7079457843841388,0.0
0.8912509381337459,0.0
