z,freq_0,freq_0_num,freq_1,freq_1_num,freq_2,freq_2_num,freq_3,freq_3_num,freq_4,freq_4_num,freq_5,freq_5_num,freq_6,freq_6_num,freq_7,freq_7_num,freq_8,freq_8_num,freq_9,freq_9_num,freq_10,freq_10_num,freq_11,freq_11_num,freq_12,freq_12_num,freq_13,freq_13_num,freq_14,freq_14_num,freq_15,freq_15_num,freq_16,freq_16_num,freq_17,freq_17_num,freq_18,freq_18_num,freq_19,freq_19_num,freq_20,freq_20_num,freq_21,freq_21_num,freq_22,freq_22_num,freq_23,freq_23_num,freq_24,freq_24_num,freq_25,freq_25_num,freq_26,freq_26_num,freq_27,freq_27_num,freq_28,freq_28_num,freq_29,freq_29_num,freq_30,freq_30_num,freq_31,freq_31_num,freq_32,freq_32_num,freq_33,freq_33_num,freq_34,freq_34_num,freq_35,freq_35_num,freq_36,freq_36_num,freq_37,freq_37_num,freq_38,freq_38_num,freq_39,freq_39_num,freq_40,freq_40_num,freq_41,freq_41_num,freq_42,freq_42_num,freq_43,freq_43_num,freq_44,freq_44_num,freq_45,freq_45_num,freq_46,freq_46_num,freq_47,freq_47_num,freq_48,freq_48_num,freq_49,freq_49_num
3.8000000000000003,133.1682065485068,384068307626522.06,139.81717981680947,351209979345093.0,157.91022177959738,322411579503444.06,158.17486608996208,235119594296932.84,132.4717675075975,134392500561527.81,121.31176715473626,82255890177730.66,74.69912136436835,29183116453584.625,58.75680668534819,13865031705936.982,40.897955448711905,5755130210933.896,35.77369910069158,3493353372845.42,31.637415380852115,2250249266226.9634,11.145189304593684,448999967473.02985,13.15246452622227,291744140436.46375,6.381311541994593,106971532765.95126,3.1958489422742757,39520032078.17201,3.152745046936305,21081520391.01285,7.988603984839165,22581110648.87242,27.133425114167647,50163638558.65522,0.1434966461487367,147784175.58895862,0.7943319033082916,150109202.0941245,1.5611368952767335,58351917.324066065,0.5173993177271724,9782371.02023862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.2,99.95667138164903,246629165554556.56,91.71069236072854,211685588959514.4,101.35425931977697,185008154794390.06,85.32059680450433,117228573970698.75,74.77064404380256,68233688740086.664,63.580755167813194,39840205541985.65,35.2750310806975,13129002004532.156,32.36706605063756,7533627884196.592,22.493544194987926,3129797832919.3076,19.261751692936322,1793289190399.9194,10.352112448803755,673433947680.636,6.023672452155648,173316620729.5198,6.583990210006704,109272770960.29971,1.2378839170745108,20085779144.662056,1.1192572379363301,12624818818.836681,2.27482998022743,11987213228.4285,7.475819648944976,19919297570.90074,7.910104306456394,13887403715.43478,0.11489630874585718,93326628.93825836,0.4871370430656522,85318264.81551239,0.23163725199061785,19583784.39384916,0.6154596069474907,12979944.403307354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.6000000000000005,62.40405731008945,133932543279094.38,60.59743619810715,122053407844732.25,57.09096965361961,94659320856044.48,49.27632353909082,62808561495380.69,44.50942400620615,38312834868712.586,31.41893949335244,18045649951650.53,19.618009684845983,6843230409025.285,15.838114787942109,3725741483019.5293,15.77129731609853,2009135947634.4763,11.718707040935893,1111304974095.2676,6.17918775914509,210239726960.9471,3.4579179278901657,76970995298.43365,2.698151151230098,41984926668.38004,0.9816507160531467,12814887199.720541,0.5461966025523266,4425307366.912,0.835430869823366,3710579068.8024836,6.24817239112413,16586368141.854586,0.5748348817382103,385726239.7885937,0.1500295961807025,36026362.78195059,0.4105294402056369,21456851.434405714,0.2681247889985456,23132448.319728382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,36.48043082931528,73371835558363.14,38.644417676289635,66434822825942.91,36.091704295508336,51779849535017.375,27.982652522808685,32654481755439.676,25.418970873400536,22090323934287.33,17.53763942178322,9099984489622.955,12.958182773460468,4255113330305.4014,8.598493429399044,1606312200518.1453,8.299658719277867,1040362567954.945,6.871604510699255,673083307340.5522,2.0396718544185277,63636644280.899536,2.0679568095202563,42579794591.640816,1.094550591413118,16296549503.419115,0.1942989002879063,2046426741.6693904,0.3149784189429101,1666520734.5196195,0.7838234811378271,2576707605.8039,2.4784277617102624,6273135873.675107,0.0,0.0,0.20277618645800455,60974936.12656092,0.4193486341492075,25471388.283879146,0.1332336183602323,4175006.7999364296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.4,23.9285396552424,38985560915901.57,24.967046212296534,36302076411248.1,20.95567501476139,25933601984073.457,17.785230913002287,17955335611441.336,14.12763703538453,10470622352882.154,8.372160101584935,3829716677396.752,7.461611208905006,2216689694358.507,5.047137505526487,918636062962.5051,4.14740032918384,531541788693.3605,3.451900338336741,273649952190.50198,1.2597546226955028,36509158430.86354,1.100851268626945,16556776925.225998,0.40574391592539905,5771268516.8622465,0.05561412897736042,532071500.79446244,0.18487353786872704,424716572.84439355,0.8259860984106964,2996039004.0273647,0.9952541140157223,2368655583.1813517,0.0,0.0,0.2653369015968235,71490891.7330874,0.051971928789520505,7052247.088165804,0.16123145031417335,5453751.918731198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.800000000000001,16.180509121333046,20786202537844.93,14.694189165025767,16564086186319.18,12.337161288058645,12488748435111.336,11.101849795182314,9151953551784.648,7.079582934249174,4623304050154.192,3.7501198781769367,1663783065804.3855,3.091662585566608,944359213105.629,3.5769076628004983,584176428466.9335,2.609816105214333,340407421675.6703,1.4804054007015301,105092822182.73453,0.7573067348626339,21448517722.719353,0.4489877060378973,8792062782.382607,0.10755906353146692,1411392585.2027223,0.06045502987837682,534651512.4885653,0.05547242047537051,223264612.49334115,0.7256586493999113,2693487269.097239,0.5129885155308614,1103689629.8860512,0.02578377721608294,8939995.010115383,0.10146453555890997,8286783.243295071,0.0580650254092677,8446353.203247922,0.1568385731662429,5697598.411272298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.2,10.015391040660608,9526710932699.334,8.933886176592644,6504387786806.2,6.644311539181794,4701880573065.232,4.968010325412539,3301856441071.262,3.4300561119817505,1896969619792.0674,2.0786258075982604,784996441185.5135,1.7155807880914848,482451658723.63293,1.884975475030696,350772540910.14764,1.678008639346288,199666055090.66428,0.7658529176939013,39598222871.5688,0.31342620977245944,9347184441.646349,0.24234099874518317,4617822744.620547,0.047200905422734425,616405937.1270827,0.03251166514839456,96934785.29014885,0.047935179995967914,190180332.3281755,0.34353623262980343,1312471406.7534513,0.07599154561531778,72747105.1251327,0.0401196106816126,14800807.670674859,0.10801564840730954,9405325.996104324,0.07309248343865363,9348817.62949063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.6000000000000005,5.810750645761424,3378516196485.877,4.1039421302170735,2100911961475.009,2.6480657788091904,1299330936974.5952,1.7642296926432066,944736005438.1318,1.4337301331463608,646309112695.1514,1.353560947797724,474215802434.6288,1.2881047232576102,212180258173.84647,1.2004210342117718,208099603250.2601,0.9681489729239177,92943210996.09113,0.23500994189096838,7675987521.95968,0.28962724912849924,8413099027.279557,0.10104351756908107,1785219862.4163265,0.0,0.0,0.03922370142292046,123900778.92622213,0.043544389610063926,186696993.9830317,0.14201362063632963,486753929.5863308,0.0,0.0,0.04333582250290757,16951918.553957805,0.10199660447887941,9434988.6944044,0.0354109088839271,1798224.580531452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,2.6140974016711374,683885799037.3384,1.611878052219857,438404835835.99805,0.6950260696562566,254938747847.98175,0.6423722349783818,143725338472.1706,0.43515602917325913,84798751891.44543,0.7725009875255536,181581354717.8026,0.6037386761003135,86546337460.35146,0.5025415476880397,44386720729.416725,0.350245958095942,19653661231.52441,0.16053641794931434,5576554310.07036,0.06992506650910807,2027895383.8402133,0.03642563145717296,688212739.163758,0.0,0.0,0.039157445565388006,130660157.85624143,0.0,0.0,0.01848805352139186,24473836.9682187,0.0,0.0,0.056753812056572414,18980468.84783571,0.0,0.0,0.04078388503625513,2185059.1643040064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.4,0.2594757700054804,20428951082.976048,0.17200751775102943,6939541490.777013,0.23661257472192798,18689928224.15011,0.013524435032370725,1964558479.4687293,0.04945576631974828,5186070434.875267,0.24721129703242303,19130434280.716797,0.17587073186001445,13973522352.122675,0.20126212000742527,10887534345.595352,0.1193896255173364,4569199625.607756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02421214756558976,3072140.665519915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
