z,freq_0,freq_0_nums,freq_1,freq_1_nums,freq_2,freq_2_nums,freq_3,freq_3_nums,freq_4,freq_4_nums,freq_5,freq_5_nums,freq_6,freq_6_nums,freq_7,freq_7_nums,freq_8,freq_8_nums,freq_9,freq_9_nums,freq_10,freq_10_nums,freq_11,freq_11_nums,freq_12,freq_12_nums,freq_13,freq_13_nums,freq_14,freq_14_nums,freq_15,freq_15_nums,freq_16,freq_16_nums,freq_17,freq_17_nums,freq_18,freq_18_nums,freq_19,freq_19_nums,freq_20,freq_20_nums,freq_21,freq_21_nums,freq_22,freq_22_nums,freq_23,freq_23_nums,freq_24,freq_24_nums,freq_25,freq_25_nums,freq_26,freq_26_nums,freq_27,freq_27_nums,freq_28,freq_28_nums,freq_29,freq_29_nums,freq_30,freq_30_nums,freq_31,freq_31_nums,freq_32,freq_32_nums,freq_33,freq_33_nums,freq_34,freq_34_nums,freq_35,freq_35_nums,freq_36,freq_36_nums,freq_37,freq_37_nums,freq_38,freq_38_nums,freq_39,freq_39_nums,freq_40,freq_40_nums,freq_41,freq_41_nums,freq_42,freq_42_nums,freq_43,freq_43_nums,freq_44,freq_44_nums,freq_45,freq_45_nums,freq_46,freq_46_nums,freq_47,freq_47_nums,freq_48,freq_48_nums,freq_49,freq_49_nums
0.2,351.6001673780958,6.975232248596758e+17,302.8913601768687,2.221691168581258e+17,701.3851026989581,4.669919303073028e+17,2712.3976051456148,5.903459854912064e+17,2153.2724497507857,3.696231248380153e+17,6627.514555718106,5.361835072830215e+17,10750.443460047622,5.226535823803115e+17,19791.392775816923,4.9598280205321043e+17,30401.576917727238,4.834037976396486e+17,45308.19470129881,4.49722687483589e+17,63233.66825102155,4.204233481142692e+17,79595.70624038506,3.273959763694901e+17,95258.77451695297,2.458916215362578e+17,107664.9101538616,1.7226994667031955e+17,117177.42824536488,1.1241187485446435e+17,125840.28133903982,7.366952835540354e+16,134283.68385759965,4.807427739709544e+16,140046.36537281584,2.9372001164545452e+16,142730.96013720072,1.68429374929468e+16,144274.62416785443,9320834785942922.0,145032.4637772955,5084002545809331.0,145516.82301466583,2771539795050611.0,146885.08943310758,1522837800021718.8,150307.2139292992,872923836003502.4,153136.5405598391,490834726387207.1,153161.01381942432,265677013872514.72,153185.9862885116,143785894554501.03,153223.01021714832,77815705988135.27,153070.43445944108,42009456500836.27,139129.47878038647,16795479857036.586,113182.08339847984,3982454871054.355,89602.67492397167,897929274652.5764,82654.19158277694,379588523828.4118,71829.55897035559,137245553081.33722,61047.652220918426,50552917520.74811,48069.77566422632,18455339024.65325,17001.234589463395,2727206683.3333387,3055.8330141901256,186217241.682818,192.1686524379284,4558941.115544453,53.55184555244594,617565.895413681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6000000000000001,357.4727565440167,1.6831420863702042e+18,857.1153209097338,1.6996193117097544e+18,975.9775742960976,2.2725950000099233e+18,2024.5239297760215,2.704361113844181e+18,3651.7304931323424,2.901911530214773e+18,7412.596460371041,2.534946921098791e+18,13511.272066633364,2.120955047029685e+18,22963.386332676586,2.30780036453102e+18,35652.76042121846,2.663793050545165e+18,49644.81723039069,2.485397597320783e+18,61384.73008570763,1.799509168803078e+18,73488.4934083065,1.31194135672735e+18,82987.32052274782,9.116899612670438e+17,90801.52685666588,6.046569286741302e+17,97803.96792880181,4.002578368517851e+17,104655.59770542887,2.608937184565981e+17,108956.84732365204,1.5802646495293238e+17,110766.68468930916,8.889281830866742e+16,112088.4892098674,4.904743156251741e+16,112873.63036135455,2.694300744458394e+16,113288.65311590765,1.4751536287586462e+16,115493.09018682512,8348973790494822.0,120013.35235676623,5080021031322213.0,121922.74885709767,2857499107625550.5,121949.23879758388,1546883416858571.8,122002.69082899294,837224607571178.2,122018.44774534865,453097537809685.44,121830.92287171728,244168513662141.75,112032.57923385328,100053554718517.36,94098.32930361867,26639241146052.2,78495.24644834944,7748524713711.925,69887.49630449776,3077051980060.565,56835.504002986854,975968260256.2384,45894.93743043727,341996186912.5739,25022.101365042203,76552307944.81209,7776.447556366965,10197222136.011812,941.9016453852005,495169024.72167885,66.35312525224147,12919562.98900352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,444.0008737629902,2.856805221941965e+18,383.2969671743544,1.5464017049752558e+18,948.488094750397,3.1028014742258857e+18,1617.3769081384874,3.3764045300799795e+18,3505.1657247677817,3.012712026517469e+18,7846.382832597134,3.006947837181559e+18,12667.857651900755,3.252968576708906e+18,20357.168551399747,3.9201550647963423e+18,28688.394411841477,3.331912662396503e+18,37532.80129877302,2.6385361679292355e+18,47181.42958885373,2.1464346470949281e+18,54187.87936568738,1.528228029726959e+18,60117.78791724311,1.0264746654369385e+18,64836.062276387536,6.639642346194765e+17,69796.37825783649,4.335660911144224e+17,73051.83815144804,2.6377738412318173e+17,74501.12462319741,1.4836377381764726e+17,75655.76885160732,8.22820129488751e+16,76330.27591753268,4.5473224486759656e+16,76723.77029701477,2.4997411266199324e+16,78371.70207181663,1.4152504146004756e+16,81370.73713624569,8497644773637324.0,83100.11844292191,4845870733069543.0,83124.03289291007,2623749739741311.0,83175.25426343962,1420127784446086.5,83190.27244635331,768574994598596.8,83133.46778915173,414818607215010.9,79181.1887350319,190293849171811.28,69949.6805375915,66112550359129.336,56883.2101139243,18458843867255.344,49936.50942587912,7139390847299.053,39734.61794972562,2202540965444.089,30930.116227885268,730648189740.6233,15312.594997698363,146980952464.57385,2998.3918472886703,11766888867.57268,386.8047133442846,645811738.046676,58.08910269322549,34657455.78921608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.4000000000000001,135.59516389871192,1.0313841124503683e+18,174.41492535852134,9.031442893100591e+17,507.5358300743075,1.683335867338635e+18,1453.1940658173332,2.374698089713277e+18,3561.0335892402645,2.598631239575076e+18,5583.310157058452,2.801682059667862e+18,9349.856779685702,3.321523634725034e+18,13976.88411232859,2.95855568924081e+18,19204.549813976068,2.656839245503176e+18,25115.524532485226,2.2612603969566812e+18,29295.17999247995,1.6367336304195105e+18,32572.55457608861,1.0855520338349752e+18,35329.31957953219,6.973348939147274e+17,38185.95855065928,4.5768248794240256e+17,40406.41706060914,2.837119740133634e+17,41479.818385147446,1.6261513502979373e+17,42352.03352730176,9.107721645613011e+16,42874.8460684798,5.065982510941119e+16,43184.43425539335,2.7970357661222492e+16,44116.48289368166,1.5838668259808844e+16,45553.18075332342,9186165531502266.0,47223.89731766385,5363721663009554.0,47241.08379767167,2905057567095919.5,47262.25707705101,1572531254630987.5,47296.253238118225,851146377642454.1,47305.99375575991,460336922759582.3,46506.73114472378,235220213816400.03,42754.340501443876,96123267827725.94,34464.04798214488,26385412843048.97,30715.670359202413,10464815508116.895,24981.3705823047,3414458759343.397,19424.598041510566,1121281803369.5457,11737.559115140584,293428977513.89044,1584.6811300658453,14114992440.95618,292.5233734239838,1193325067.589851,28.788611762390538,39617685.479016215,28.788611645597143,21439884.006565776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.8,70.55953822707907,9.537166616965764e+17,203.20723847233893,1.3413616140811878e+18,531.2970897735473,1.636322120681506e+18,1225.6414709163842,1.7366852392824445e+18,2119.6646642535393,1.8510375272133343e+18,3791.237404003978,2.1762083282001075e+18,5979.985066212016,2.1853560208070917e+18,8448.134438890565,2.0724182047464305e+18,11306.11967196605,1.7503069869129718e+18,13674.971667674026,1.3265446594373087e+18,15263.156582279964,8.74507822773756e+17,16575.796361005137,5.590159698969848e+17,18050.57630871648,3.63862115309973e+17,19347.216613996286,2.324188489499702e+17,20056.66045134515,1.3671353120691786e+17,20575.305941999544,7.748734171088624e+16,20933.93118379726,4.351934635230866e+16,21141.746724506225,2.4163602038432096e+16,21373.21745283455,1.3464374981237768e+16,22097.288811439546,7832641878528563.0,23383.359672849074,4727985053853364.0,23454.123879888197,2577025428755618.0,23468.827036547224,1395173290828357.0,23484.218505405723,755073573400068.5,23507.163094640608,408749617810285.9,23427.608634119766,218711978569761.94,22479.651462422913,102419298319374.73,17996.222088807266,27688726944630.203,16574.81324263652,11603992098594.795,14276.47671799702,4340916414595.152,11348.373568011983,1455835379341.9836,8062.561311299766,469831789446.5407,1156.309593786804,21851795326.79981,341.7253126706727,3078361345.9919114,48.41205740075851,197572698.56497306,9.204901219851385,14049479.104090167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.2,124.58833041554573,1.413700344441096e+18,150.34911143169506,8.680177212942703e+17,299.27123230013694,8.10810755679143e+17,781.9277228230126,1.1452564237813114e+18,1349.0543645602568,1.293255778332209e+18,2275.43642760397,1.351085221747504e+18,3383.5752822462105,1.355834108830297e+18,4609.758531152938,1.1376654139133549e+18,5895.388828750085,9.403189956706102e+17,6623.558307766489,6.27146624492836e+17,7342.3509041960715,4.012103872282637e+17,7976.092437272309,2.5362311819740458e+17,8677.989191792893,1.6807288206587226e+17,9113.650503204315,1.0196630562958606e+17,9357.285733714563,5.809387585522102e+16,9605.002670880087,3.315109395323399e+16,9743.341512395766,1.8668185181261828e+16,9805.192197985662,1.0294924476688156e+16,10091.565517858242,5996926628894978.0,10627.606627997025,3612056727951514.5,10948.797783455875,2076293190015895.8,10953.406080644972,1125028180019282.9,10973.421320992516,609345636491207.2,10978.914985961495,329845866390085.7,10982.233013832669,178164498361400.2,10779.33215995221,90211539870205.8,9993.513734519913,38057249402055.53,8269.612415002275,11165928656787.402,7561.993665137605,4753548218492.748,6248.318782893348,1694227518369.2056,4767.242129322111,589721587802.7089,1520.7141804302885,71685162483.56201,282.53312514671455,5040640973.332299,65.91762308442628,564172485.8010974,2.263118360917189,6674552.653475916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.6,56.35241281132531,6.353980679654374e+17,85.20905969363994,4.52513500025052e+17,319.05713674812745,8.070356873103167e+17,466.2777165117834,7.65438939574816e+17,841.2567018975035,8.459818616951464e+17,1328.705456982087,8.369805663173654e+17,1833.5121021665202,7.402146198039156e+17,2467.8137304282504,6.291106290999786e+17,2877.8744654942343,4.3997717513611814e+17,3199.535262389683,2.735970001491331e+17,3455.4857595951394,1.691808612934169e+17,3789.311807443944,1.1111723370806592e+17,4100.768734180956,7.194695298111115e+16,4240.318348676388,4.206078603832249e+16,4379.551233370898,2.4345314200029716e+16,4454.937608235102,1.3796367170797034e+16,4503.289339369306,7720449434132411.0,4565.395459772825,4364647695970137.5,4733.856238738161,2584355620177656.5,5078.537845473242,1632150233683967.5,5085.512857288062,885811549174831.6,5091.073901812934,479804371566947.94,5097.291302018078,259704330796416.72,5106.272569171298,140642674464313.06,5079.17949318933,74700066762181.9,4943.7342258895505,36504458561230.375,4018.458012424543,9976041448319.85,3824.830656496214,4609697218369.8545,3376.3532090342387,1881110541357.6858,2736.0307437410434,688262110049.4238,1724.7737605346085,197145830893.9821,169.21730786109057,5726058185.882098,65.77388224224977,1071449097.5727516,15.642613704099857,133554305.74312739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,26.779430179703066,2.6953706345252982e+17,60.368759044261296,3.0053473739370214e+17,164.33558415680048,4.442935707226163e+17,285.8245624692046,4.7161921717755104e+17,509.4079016583804,5.0107050759052563e+17,730.5204664657306,4.729722384760663e+17,990.6039746337225,3.828335756734709e+17,1253.2618620469134,3.0250900483093523e+17,1369.8575281161316,1.839836052868905e+17,1548.0735118186262,1.1804429760699067e+17,1706.9740428071116,7.561508287197814e+16,1879.2071350375218,5.138637878794642e+16,1984.592608355933,3.128517131751564e+16,2044.6425605982702,1.807264864552811e+16,2107.3172126078043,1.0494938883724708e+16,2137.580124713845,5948175950878841.0,2154.37720493902,3317147380852200.5,2209.4807020604867,1937973389692172.2,2342.104325911027,1207097409773218.0,2432.5017236348704,712879100148482.0,2433.4972971594834,386388905483787.75,2440.744194618492,209440891123589.94,2442.6622666092803,113401890961475.02,2444.991572427691,61276878092816.766,2414.273539878968,31646871887686.23,2283.450851731388,14097189464651.17,1928.4828776653508,4289870157500.1426,1828.499116358349,2024389062192.3389,1552.6558611298349,789074462412.1116,1162.8794757701712,273315233999.82004,325.1460558070299,29294383220.454582,66.3482915716285,2159178467.3929043,19.663175475028346,319292694.3802525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.4000000000000004,27.523076864613717,2.338376044565347e+17,54.43214643317758,2.4512693007003242e+17,99.81884115943765,2.7246761826277184e+17,194.63013533244694,3.157659436570148e+17,294.53294076617345,2.988725959567896e+17,402.5812748618392,2.540381773775687e+17,541.3153699012076,2.0229202437052758e+17,636.3611007346116,1.3745630268929478e+17,708.0911612681383,8.568285029529066e+16,773.475920922079,5.473648864890551e+16,867.877203311531,3.630149100830914e+16,954.9487653635293,2.432655615252139e+16,990.9575109598744,1.4079725638231424e+16,1024.1660684345036,8205464071271251.0,1047.4322716150245,4711098442235375.0,1059.1739062782622,2653585017897030.0,1069.4647804525425,1488279167127425.0,1099.1025026487494,873597728187220.0,1194.9600814310536,582876169206013.6,1199.667252636162,318025721000481.9,1201.785498006078,172485784152880.94,1203.988593387371,93356347934816.5,1207.2173500054091,50585705942296.71,1203.497260147268,27012138105951.86,1186.2424480829834,13795240788307.943,983.57742357048,3951900248282.1973,962.6426967620284,1984586861992.4065,882.0211724304778,890760645548.7396,725.8219612208056,337172863040.71783,477.3203872963678,103404821065.52364,54.59530004713136,3445903465.966014,24.063885013388123,736807739.0145606,5.716464437905414,87748248.99932207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.8000000000000003,14.119118314526352,1.1847869978328173e+17,39.49375382147057,1.8468378467914586e+17,65.3162773980734,1.8568823225647715e+17,113.03863249062329,1.7482550710261466e+17,167.26425021030084,1.613507239180947e+17,221.84019588318432,1.2521297714899658e+17,296.10147526611513,1.0563512543422437e+17,327.40878162526803,6.505085314618994e+16,371.59982722968687,4.3199504429504264e+16,417.6915756628403,2.7897133622033708e+16,461.64208435804636,1.832283361241277e+16,500.2843113654818,1.1567977308014464e+16,512.6396837433409,6619086465800213.0,531.2903869017863,3835904448033872.0,539.1403931722228,2166025339642924.0,543.6128696657139,1213561292663875.2,549.6213279934695,684375971969583.0,572.2061515107886,413469123149361.9,611.4381862930242,267180087510307.3,611.4298382077113,144708679856347.62,612.6411419549344,78477780642791.78,614.816660382039,42536689834138.76,616.0863220633172,23035507426823.9,609.0325623314218,11868549872865.434,596.1150241373953,5935698890012.39,511.92852963582135,1902197927939.9727,497.7453925235556,954580130880.8472,441.68202420320074,408037943342.32227,337.10178264244473,144002329132.00827,139.33095438821,25336376116.14431,22.026104762170466,1269121977.9729464,8.804410201293523,243109334.6061814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.2,11.484081356438951,8.74875352019374e+16,20.509630481646642,8.991463614587786e+16,39.98811350237909,1.063531420562477e+17,72.61242927503379,1.105739404825856e+17,92.14204465804958,8.423209038337898e+16,128.64307962381088,7.1007097636151336e+16,161.12750239619265,5.302930587634107e+16,177.7176767113123,3.346336037460126e+16,201.85429451690123,2.224848177876079e+16,225.38277340645917,1.4414667402770352e+16,252.47390676989696,9651897906031164.0,263.82113284068026,5661053132552813.0,270.8702538080432,3214633761136373.5,279.64059170513417,1840064529866497.2,281.35980907753174,1018243025659950.5,282.9272120738879,564771200643434.1,286.732592098113,319360649378925.94,307.3783501902876,211766272167676.5,316.81920878177357,124115714420237.78,317.4346490240971,67296686965903.664,318.57985262168796,36503012445101.14,319.01559164660017,19778485237598.914,319.6333161832918,10677923297901.139,315.32012588395185,5433983960006.933,301.4759878142691,2547628687587.89,269.0158697129518,924550128662.2825,259.5868683025352,459811440095.2395,220.41310126840972,184903717162.65445,150.2870373082389,59523057196.62941,22.63723260263148,2739130155.11068,11.216073867861333,619586511.8983506,4.366832576604353,121344977.12617028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.6000000000000005,10.517579292943866,7.442248642060211e+16,17.264773099379195,7.75334602428385e+16,29.299160311745613,7.073321646778858e+16,39.71495880016957,5.773345063708005e+16,53.73687787103242,4.720511032585204e+16,76.31839301516527,4.106693639388705e+16,84.70094562153167,2.673680084711833e+16,92.58690173289946,1.709570960337217e+16,102.03639368244825,1.1069526659714158e+16,117.50221316331213,7391764856293214.0,130.13605617736894,4962298577743811.0,135.79575008430356,2777952010886418.5,139.8174127894145,1559632025639659.5,142.6761885961658,873856721952397.2,143.73495208106218,484052323290185.4,144.81612770537862,267734065357569.88,146.67302091981898,150318187716931.66,159.98056239975273,105189682989157.4,160.55983286506728,57138637914353.67,160.96836427474958,31012115756954.41,161.57801286716688,16801409695766.426,162.3976616364549,9120067047307.0,161.65278675333502,4813723461492.581,159.40457563043844,2443404958292.405,138.69269743604406,820161907806.0038,138.050992785766,439656319646.44257,127.97732998356352,205290874537.2707,104.23702987494077,78791164005.1178,58.68532777987576,20483490814.827675,8.621939293519787,876628624.6888394,4.178488747813163,214592809.22975415,1.476702831504897,38236525.78220518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,4.266531226520788,2.692289109860664e+16,8.11016135009383,3.4698444005735764e+16,15.040362026913074,3.4153505159228252e+16,21.553380334510543,2.9948301472045612e+16,32.089616469386975,2.579571966893181e+16,39.35461011009315,2.1295010858593804e+16,38.99267766491594,1.1782560698588278e+16,46.74490273805756,8504070458580930.0,54.16842025300513,5615140950629531.0,63.10423470763016,3849884220402908.0,70.91644582195238,2564394716720881.5,72.32470432892077,1405149527414389.5,75.08354620538138,795580615780155.5,75.91436647104481,439272881730474.94,75.92106571629586,238585426813650.47,76.33507233555497,130593151791624.97,78.26790879856378,75636576824211.5,82.43180989801705,47371106716927.805,82.4121252365929,25627258618297.934,82.54303618819634,13916235060428.174,83.14497917277409,7562216795450.168,83.50252337450247,4100243185670.3667,82.03866505411959,2012971433852.199,80.81763361193299,1029244437333.2832,72.85866508442136,392100002615.7892,71.98869415068681,205959298084.6598,65.15964727126294,92491624001.83502,49.23159477925784,33013281853.392513,15.133793287636005,4090270084.3132935,5.127915489141961,498681870.9987594,2.442086207366737,112683944.67079276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.4,1.6974196637470693,1.1638063889526814e+16,4.941737504684648,1.8575246635514964e+16,8.765574094440755,1.8640881319003388e+16,11.178071763994538,1.418325344289615e+16,16.925778126099175,1.3968891362237376e+16,17.949178739571543,8991969500584579.0,18.320138615144927,5292340611340487.0,23.34170686539582,3972671725828763.0,29.115202099658024,2916258434923120.0,34.51705246809526,2126142447921747.8,37.54932118035999,1291996892229556.2,38.57461811413204,716374835544378.8,39.848638723164015,400564917176827.9,40.033909574205296,218321257409462.25,39.78347297824491,117512699801705.22,40.11373699791262,64298737686057.336,42.1139430127605,40022628833070.52,43.47528797317291,23538155916341.117,43.466188310303686,12734292318969.895,43.97547098728519,6954792327008.364,44.098908411262066,3775333155323.84,44.34468711525596,2048303919305.4053,43.437973527085404,989998931227.3351,42.12683804479179,479822789978.1866,38.19738196008405,183900379054.1069,37.68468164977446,96210588278.21153,32.68240082528498,40178210423.37658,21.10336160013544,11782810789.909756,4.764718016349264,904477091.7779783,2.9482655728135185,271610630.7801056,1.2978126509947419,59915906.58005537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.800000000000001,1.783977951137537,1.1927685604194068e+16,3.8478613983959487,1.4028727306518756e+16,3.549716644819247,7494012479676143.0,5.9607123024426105,7458115277638370.0,8.043769617787667,6677583954221954.0,8.060402254172116,3688821013340109.0,9.848925276600111,2672241986827770.5,10.776691747764332,1820782936275114.0,15.317330100958621,1505025867383997.0,18.689347532402493,1113743500913440.1,19.820233070381246,615561859425491.5,20.929999227486366,345464782685328.1,21.283491318289588,191712987505968.3,21.22374047084635,103845924609277.56,21.302802725371475,56402541354269.5,21.464602563199556,31017940408510.3,22.8994084748849,20415635931073.055,23.473447745889207,11732231444592.172,23.588595751997158,6378526589797.924,23.78824224815182,3462470938021.9844,23.872823605468593,1881480895975.2913,24.045077261879467,1021738425183.6084,23.583008964385705,497964784483.0915,20.580619510612497,161824344302.83344,20.580541802742836,87574032841.73184,19.70922684211779,43245248172.050285,16.905994922042925,17790481534.522346,9.111440830252796,4205225785.1858554,2.884066235856755,503856788.57458293,1.740184996845833,151433566.7702955,0.4728719013591213,20298649.64731675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.2,1.317099870700824,7814263252755661.0,1.3399198846917189,4280748515859078.0,2.4310857638865078,4943888898457413.0,2.0806441850050037,2416428771275629.5,2.6166319837349787,2093677941453008.5,2.9220234684120228,1298916769263377.5,4.63135658328025,1244767429250268.8,6.4067321346714055,949785920562949.5,8.40881256522274,732952577275824.2,10.542164640846346,546742604698990.56,11.516253579751114,309753330344039.94,11.858807456037962,170690354875709.1,12.07674324461307,93657913231584.2,12.095850301060672,50896754721038.68,12.168169496440637,27674900811407.35,12.297553557824504,15391106940004.955,13.004037893292287,10012894048251.082,13.077448479783719,5457113093460.981,13.160296142868539,2973901798245.214,13.303516550722223,1616852284497.4016,13.485567555527203,884726249893.9869,13.459917664873487,473221359231.2098,13.238334222145802,235131829572.32727,12.011270625810836,85956154269.48598,12.01123038470607,46516677751.198364,11.145631528507383,21513451834.440643,9.301952086478249,8640165296.073908,3.630730476658899,1336855431.8158329,1.634360023876725,256699579.79576477,0.8271105748487545,63142858.230625115,0.33645232876941633,13919566.261028036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.6000000000000005,0.1541902172377874,952895920118587.2,0.5629395673648078,1876551849573250.2,1.1601228872972436,2139482494889276.0,1.2663383419919927,1535450041483495.0,1.13319719077329,862697481507792.8,1.1753900212373958,466814782911323.7,1.9006601004690753,549414690805682.2,3.3506418440879053,384998656033413.2,4.71195555360629,351950407102069.5,5.8724409432138325,236135055641253.22,5.720239413612455,107598855286052.66,5.939748138210311,59420628331439.34,6.042757716895782,32810644124525.2,5.981430818684202,17464415983440.916,6.039982366720936,9573604758271.482,6.104233864216717,5396732588871.76,6.344716359996997,3387152750327.633,6.343278585352772,1832494151417.9248,6.403823397395961,1006418241591.9631,6.508260055761709,549970917334.0159,6.597273146887499,300795295086.57227,6.59714535250337,162777242913.3797,6.597076204424366,88088910904.44585,6.36953361699549,40075745279.114815,6.369515045592867,21687701943.7734,5.806901273916927,9521082818.850903,4.2687751478053,3317845955.2282434,1.515440759254082,448832179.2947725,1.1741681592411435,177757976.50940412,0.5972729268278086,43942508.20327785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,0.08993900177681721,375507477755633.5,0.0,0.0,0.1976412538754857,330520796207487.9,0.03151199274729966,131888922149235.25,0.33568416709902715,185254933120621.16,0.20846866502036476,57910115002780.445,0.9049711662709873,146918539620082.84,1.8058527978445715,172018000059877.94,2.300254685416826,112006783369476.2,2.5161454578555893,68220584572623.37,2.730168356256317,42763398101362.86,2.753359016787692,25156648268721.727,2.7799663039415363,13954231309818.664,2.773645780097286,7532751312848.35,2.818723231217654,4167276299708.041,2.81683529126608,2253545956056.159,2.856432360672372,1255967029493.0486,2.8558678835464697,679543230018.3739,2.977870569183603,385312959760.48773,2.9776981159335456,208506326355.12604,3.0432206843745457,115091701686.60083,3.043169136164383,62282961039.10915,3.0431412375309495,33705300623.548332,3.043126144894059,18240182065.62754,3.0431179792150407,9871001555.169548,2.6702145758597555,4084927352.134837,1.4346736604628385,936916134.5070984,0.6025609513767508,149885786.34455657,0.529672789808202,69281243.68841146,0.27628501358557245,18367031.129879266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
