f,Om
1.2589254117941661e-05,7.111726385817476e-15
1.9952623149688786e-05,1.36522784560427e-14
3.1622776601683795e-05,3.003677497372088e-14
5.0118723362727245e-05,1.346135914651197e-13
7.943282347242821e-05,4.336440989170487e-13
0.00012589254117941674,9.08169410472866e-13
0.00019952623149688788,1.5386169912362557e-12
0.00031622776601683794,2.3677540983795805e-12
0.0005011872336272725,3.427913314810855e-12
0.0007943282347242822,4.7922248807060255e-12
0.0012589254117941675,6.719849643337099e-12
0.0019952623149688807,9.423335864318635e-12
0.0031622776601683794,1.3066460147029418e-11
0.005011872336272725,1.7843165411283188e-11
0.00794328234724282,2.0609330353053876e-11
0.012589254117941675,1.9793860989463476e-11
0.019952623149688806,1.7433305829626866e-11
0.03162277660168379,1.1749533196100648e-11
0.05011872336272725,3.654781904414312e-12
0.07943282347242821,1.6061583933114942e-13
0.12589254117941687,2.470108959297016e-16
0.19952623149688786,0.0
0.31622776601683794,0.0
0.5011872336272725,0.0
0.7943282347242822,0.0
