t0,a_i,m1,m2,nu0,M_ch,K,nu_max,Dt_max
4532.31,4.81991,0.487336,0.574507,9.730041764698506e-06,0.46032252811223984,1.009951385350808e-06,0.013795085703044673,272668.9948271986
766.651,2.56818,0.614381,0.710918,2.794870498385359e-05,0.575031450047684,1.463354059032945e-06,0.018929582029381803,11287.424000779032
4101.82,5.45388,0.519037,0.581148,8.228438664936521e-06,0.4779669807743439,1.0752924061549512e-06,0.01503767045966183,400438.38109652465
1224.57,7.12158,0.662729,0.816149,6.3935870398553705e-06,0.6395533631679678,1.747128030532781e-06,0.02108460593683005,482982.9760434016
11194.4,411.064,0.595702,0.565079,1.2916769898913598e-08,0.5050482580273687,1.1787405271003806e-06,0.016952589215653,10975224927116.87
3212.13,21.9011,0.60007,0.652308,1.0909673824689616e-06,0.544559935260197,1.3364095270474959e-06,0.018394722101442273,70491675.50107548
862.125,3.07157,0.815286,0.648124,2.2453566156300176e-05,0.6319862788516792,1.7128112309261177e-06,0.020350362086599787,17289.07374889958
5518.04,6.25655,0.60607,0.446386,6.550018676686993e-06,0.45175110333153834,9.788033707170193e-07,0.012219813274871993,808288.774231817
3913.37,22.0829,0.583274,0.607693,1.0507723806026186e-06,0.5182677264566524,1.230609779105713e-06,0.017735806087225903,84612010.42688785
11189.1,227.622,0.500485,0.553347,2.9868078368217516e-08,0.45801415371648785,1.0015245157465051e-06,0.01435351894574675,1381532490011.4841
1027.86,0.320051,0.740182,0.6029,0.0006395366316701588,0.5809379880605394,1.488491572931664e-06,0.01833449765999752,2.629045947250207
1810.26,0.742986,0.332669,0.635271,0.0001534957010102533,0.396107559120309,7.862342710402876e-07,0.008465523893199843,223.7469054470503
5939.84,5.87434,0.483381,0.555729,7.153771871672906e-06,0.4509820712797407,9.760278602483104e-07,0.013679927933558201,640746.6240104294
3355.77,0.43005,0.418807,0.557175,0.0003500140031117061,0.4196768084919193,8.657417679832741e-07,0.011318896307493963,22.555460657402513
1913.18,0.178366,0.499553,0.490164,0.0013195636669104548,0.43077608373033305,9.042379413765852e-07,0.014073262457021882,0.6261663115573148
630.431,1.18523,0.560596,0.707723,8.720738007644812e-05,0.5475985417830693,1.3488610828957394e-06,0.016520506738573235,589.0233931908335
2493.65,0.347149,0.449423,0.525123,0.0004822477803742507,0.42265823225138066,8.760165414884585e-07,0.012464478163893523,9.482760768579631
12342.8,5.65843,0.4728,0.404451,6.95281955111564e-06,0.3804532115166151,7.35132309181728e-07,0.010962124279475688,917869.0086902338
440.689,1.38204,0.743843,0.773464,7.575281133590077e-05,0.6602951979073478,1.842582679425482e-06,0.025738365313234382,627.6993778886792
13167.1,479.796,0.605115,0.552159,1.0227655877084227e-08,0.5030996384392024,1.1711704202723962e-06,0.016367867335787684,20585072091958.375
1849.68,1.0448,0.360032,0.633482,9.325673221197381e-05,0.41248715694237637,8.411642464798693e-07,0.009303955651051323,789.8514583760594
7895.47,320.784,0.563549,0.586716,1.865189013005498e-08,0.5005600531426554,1.1613338010152865e-06,0.01690820716277193,4181744013881.037
1395.86,1.03811,0.380185,0.679384,9.723945219331098e-05,0.4387734360443655,9.323893363498604e-07,0.009904995409390195,637.3767442750922
2061.44,0.225196,0.460934,0.47902,0.0009064737570557927,0.4090478500421516,8.295074234253365e-07,0.012993742304843276,1.8597284534899254
12195.0,7.03919,0.446354,0.466343,5.111192331496982e-06,0.39716009998249896,7.897193365145376e-07,0.012477855687440165,1941079.8654561203
3217.53,7.25676,0.42889,0.226212,4.136978522036568e-06,0.26844489586649645,4.111074412167398e-07,0.005568218974946741,6553370.52801684
1006.96,0.930698,0.386049,0.682768,0.0001150486293653977,0.4433724294392191,9.487342058021079e-07,0.010090296806088318,400.0161171124747
1278.26,0.336438,0.561018,0.556319,0.0005412245274792835,0.48634401625621293,1.1068855413755154e-06,0.016659415570735202,5.5176328717068595
666.248,2.92678,0.766885,0.707349,2.4229309478512368e-05,0.641069489067002,1.7540363897949123e-06,0.023601732196903702,13781.423233824728
2765.56,0.510191,0.434656,0.601243,0.00027906312982588433,0.4438681105547346,9.50502639542392e-07,0.011810065722623529,37.58912788339413
4561.47,34.7608,0.583818,0.610786,5.328687863898582e-07,0.5198225794069019,1.2367691763604546e-06,0.017752461017099833,514793083.0392648
265.516,11.3925,0.961079,1.05919,3.6933374322885715e-06,0.8781282235283252,2.963420717820529e-06,0.042499803177123256,1230263.5584304256
1972.17,32.1677,0.672814,0.689114,6.391311771965633e-07,0.5927626432482678,1.5393290415207146e-06,0.021918367400534496,254685352.41220015
1727.77,0.64501,0.488634,0.650174,0.00020583466955773958,0.48968620174051514,1.11959220036142e-06,0.013714704767632075,71.85553368642243
4224.72,8.75725,0.599582,0.491007,4.026445991205733e-06,0.4718777929385368,1.0525578764870933e-06,0.013889755897151253,2751298.9309432735
1245.37,2.48128,0.633738,0.608073,2.8487676726307394e-05,0.5403910914344555,1.319401746221008e-06,0.018817628884474698,11897.241733324654
161.901,10.1393,1.07783,1.24404,4.7157408863719625e-06,1.007542065325397,3.72650806100551e-06,0.057718943616140786,509886.54351589835
10937.7,234.492,0.50409,0.553609,2.8617516659756368e-08,0.45978448847945574,1.0079847130728453e-06,0.014496388921788892,1538519396869.4194
1152.84,0.609117,0.667181,0.652484,0.0002414480554806319,0.5743748061704007,1.4605700470265087e-06,0.02091653202578134,35.99041560170118
633.275,0.96621,0.542352,0.732906,0.00011880498941094491,0.5476184889235326,1.3489429745436303e-06,0.015714259666497973,258.2389496025723
478.233,1.47998,1.25495,0.765382,7.888066171908517e-05,0.8480437384101094,2.796150261618612e-06,0.026137643148652055,371.3300225628669
6978.39,7.22979,0.619438,0.439377,5.288889118130815e-06,0.4528319704203319,9.827096511116066e-07,0.011952206687257744,1424005.4535437527
2481.53,0.295185,0.43247,0.509994,0.0006048308037969439,0.4085636058226222,8.278714060050532e-07,0.01187877124952337,5.484042161088172
1281.99,1.11601,0.638832,0.626704,9.534064075260957e-05,0.5508261840546376,1.3621378079505618e-06,0.019702107300737542,459.8461885182151
725.26,1.0751,0.998106,0.764496,0.00011899995032795402,0.7591022497260205,2.3246837720376705e-06,0.026476375319122017,149.1946454453837
4767.42,5.65301,0.500395,0.568997,7.687617707953472e-06,0.46432960730625417,1.0246464684791415e-06,0.014316189460108977,503759.576915586
11770.9,215.711,0.550999,0.544639,3.3011712078957505e-08,0.4768944970742797,1.0712740992756431e-06,0.016180801655116664,989069262262.7817
280.38,2.37584,0.864459,0.709066,3.4225829491485155e-05,0.6809008987100753,1.9394113461828446e-06,0.023465597619170053,4961.673809749057
1126.22,6.70999,0.805368,0.619537,6.862037536979142e-06,0.6138747761142984,1.6317854922918188e-06,0.018988022760051782,428256.66781150235
501.362,2.8374,0.821916,0.797384,2.6602702330048144e-05,0.7047441960851224,2.0539156288772567e-06,0.0290886568621937,9173.269589098694
9257.61,299.531,0.553978,0.577846,2.050547001450188e-08,0.49252354631368167,1.130424989226079e-06,0.016512963685750125,3336935006987.1704
1202.7,1.71713,0.440946,0.646125,4.6298522827984156e-05,0.46298784498826534,1.0197163954583545e-06,0.011973963142585886,4216.15774491675
7991.66,343.147,0.554351,0.596869,1.6865600040023314e-08,0.5006873856834726,1.1618262098721538e-06,0.01648179817746849,5467172935935.455
6749.43,12.2108,0.560614,0.500671,2.412363671117903e-06,0.4610663425975403,1.0126727418285773e-06,0.01434497614606109,11209654.849682434
1216.18,0.833278,0.473341,0.677213,0.00014090018818957713,0.4913129878715667,1.125798056279297e-06,0.01310340764382839,196.34279569537185
3818.5,7.63321,0.562704,0.57581,5.055351009320161e-06,0.49552759906203225,1.141939686597974e-06,0.016899668928987855,1382278.1147047922
4457.27,4.92933,0.492842,0.573225,9.426562544239507e-06,0.46244788822115895,1.0177351026420163e-06,0.014011141745012102,294441.084526404
298.972,10.7273,1.01522,0.908416,3.944289216471818e-06,0.8357615451338591,2.728982353580181e-06,0.037357636376999244,1121135.333233383
4024.01,6.65456,0.555627,0.578738,6.1992669044490125e-06,0.49363806444684977,1.1346915508107102e-06,0.016582253718867884,807464.4149407662
1308.54,14.0217,0.926143,0.620931,2.3669957650169086e-06,0.6575527784396848,1.8298456096355712e-06,0.018870955408018406,6525809.259137793
508.185,3.27301,0.82764,0.687606,2.077129235324886e-05,0.6561634699010612,1.8234065085939976e-06,0.022365654338876922,19988.914938430815
9424.19,167.521,0.559825,0.501677,4.7478770799065654e-08,0.46121319570728186,1.0132103720849596e-06,0.014386578520353483,396774635686.0582
3011.14,0.562696,0.378326,0.613402,0.00023573739998725019,0.41695415961112536,8.564012076525764e-07,0.009900809849653825,65.4237077794408
758.62,7.30317,0.747122,0.873186,6.444283185031924e-06,0.7027153788034052,2.044070402778229e-06,0.02567223950363349,404216.4145802019
4601.2,10.7306,0.559602,0.568539,3.019177358132889e-06,0.49103340134647944,1.1247305145929804e-06,0.016782778823168202,5548266.236976396
1505.72,0.485105,0.511943,0.603171,0.0003122834375631687,0.4834297615172556,1.0958532303719346e-06,0.014705720369198861,24.155210450876915
5420.91,12.61,0.559128,0.553734,2.353916051191197e-06,0.48439449241695876,1.0995004564079772e-06,0.016551812682755403,11022263.056522015
147.012,5.68392,1.11971,0.753675,1.0092169311396821e-05,0.7966148393194711,2.5192856138400085e-06,0.02560549360564037,99160.63333003919
787.02,2.27589,0.758128,0.675607,3.484580370972642e-05,0.622828144030308,1.6716440290274817e-06,0.02188366413429584,5487.362628143029
13420.1,482.533,0.604947,0.550835,1.0134221151100901e-08,0.5024213979806069,1.1685401323042051e-06,0.01631148358782331,21142554948394.47
816.094,2.15215,0.773033,0.729425,3.879138695851762e-05,0.6536522172404248,1.811790525231661e-06,0.024867173160163143,3803.411256047692
3699.12,0.335133,0.44539,0.513618,0.0005043456360062116,0.4161634856563828,8.536962499438743e-07,0.01233932163107729,8.634633769668824
1890.24,0.400854,0.403735,0.53811,0.000382079141620405,0.4049343235656699,8.156510582311161e-07,0.010829418133233789,18.949772460565192
182.087,4.44225,1.07359,1.27233,1.634538101233331e-05,1.0167174921402284,3.783240168388393e-06,0.05689804091720248,18252.599797105126
7623.12,103.586,0.676009,0.448177,1.0048712833479679e-07,0.47717050531341626,1.0723076525344857e-06,0.012194457375990547,50772460087.34047
5245.17,32.7062,0.570618,0.592539,5.761253443593544e-07,0.5061855890241819,1.1831679066948019e-06,0.01720607053892654,437002354.625972
1214.94,0.282579,0.556824,0.528868,0.0006930848991903775,0.47238686578489236,1.0544510972434042e-06,0.015499058505653949,2.994624725820835
1046.62,0.7572,0.777817,0.67979,0.00018308267883265824,0.6327370020315353,1.716203594054874e-06,0.022058950684221677,64.06380322913562
13007.6,356.229,0.555027,0.552745,1.564134977328387e-08,0.4821845415897811,1.0911527670554325e-06,0.01652000226956284,7116917649183.331
1784.26,0.371767,0.566642,0.566374,0.00046919644156194566,0.49317384195601277,1.1329136483402975e-06,0.017087178734520772,7.889865504621667
3900.78,0.220078,0.415325,0.467172,0.0009091480602604037,0.38333306351560303,7.444300338065845e-07,0.011353259969588877,2.0552983495626
2783.57,0.273798,0.434627,0.48883,0.0006702022404149624,0.4011265390836395,8.029079297188035e-07,0.011998172802010468,4.300272406682769
611.016,3.63013,0.819579,0.71182,1.7877379367069282e-05,0.6645978516768035,1.8626373539170335e-06,0.023722220740591028,29194.666137852142
857.177,0.801373,0.725425,0.685298,0.0001654290432723294,0.6137547132518577,1.6312536138267102e-06,0.022488999416820015,88.32596194710177
10674.1,319.593,0.679886,0.565281,1.9514654069434608e-08,0.5392309007834907,1.314683984557899e-06,0.01677383871391756,3274350115807.287
6833.3,258.489,0.55898,0.567493,2.5517624205895994e-08,0.4903090502001721,1.121966618537797e-06,0.016758316449299312,1876527231930.4463
8118.53,70.0845,0.920951,0.377303,1.9403934918005208e-07,0.5033662987615574,1.1722052048761431e-06,0.009691563593780615,8032775626.487944
2431.37,0.707221,0.32928,0.646284,0.0001659350400430136,0.39713860070529494,7.896480886367217e-07,0.008357539049661977,180.97879256364104
3719.07,16.5908,0.575345,0.594164,1.5989825924857364e-06,0.5089792683289105,1.1940712491079585e-06,0.017413216597042695,28463954.48609217
5068.71,8.73554,0.556601,0.558198,4.086077445863592e-06,0.4852438512186543,1.1027155222561508e-06,0.016679502568641903,2525191.788192377
2120.87,3.59222,0.584074,0.637954,1.62232975009252e-05,0.5312979154670698,1.282607001552218e-06,0.01769626414539159,54925.93736388505
4220.38,5.99454,0.558694,0.569785,7.231957924076342e-06,0.49117054560071105,1.1252541201404112e-06,0.0167396069819466,539894.7682301934
3299.93,3.94798,0.501947,0.598832,1.3363819329561964e-05,0.47691138534102523,1.0713373284119959e-06,0.014317602201804705,110281.06311365693
309.443,1.86232,0.830816,0.730081,4.911889697298491e-05,0.6777206045694386,1.9243374670312276e-06,0.02475233643670649,1908.2322391761497
4819.62,7.59559,0.511683,0.565888,4.9547713764666244e-06,0.4683275481145946,1.0393925372237493e-06,0.014773492101564775,1602259.5124313121
2232.37,4.81677,0.578251,0.648248,1.0467492993470772e-05,0.5328207225348028,1.2887398710453488e-06,0.017410698511457965,175858.364635829
11134.4,45.4173,0.92387,0.324874,3.647939963693292e-07,0.46462311210468155,1.0257261685172377e-06,0.00812949955951293,1705101298.0841887
10141.6,261.195,0.555071,0.560234,2.4997264155858708e-08,0.4854584559416683,1.1035284566315753e-06,0.016607058857918352,2015635309037.3713
