t0,a_i,m1,m2,nu0,M_ch,K,nu_max,Dt_max
13436.4,3.69009,0.412704,0.396372,1.2678917182759674e-05,0.35208467645370173,6.460636296749304e-07,0.010808190310512167,210417.1012268716
2880.66,18.3732,0.573304,0.651521,1.4041152651609793e-06,0.53183048253318,1.2847505022066356e-06,0.017183698670122056,37412432.647998154
278.783,0.189756,0.830068,0.329161,0.0013014703746895462,0.4457377119189023,9.571846352951596e-07,0.008276517542265686,0.6104007278905069
309.782,11.4838,1.00179,0.880398,3.5224595393194026e-06,0.8172234943123438,2.6288440646807776e-06,0.034915008025166644,1573576.6841172653
12988.6,3.45672,0.416662,0.413357,1.4164154554436046e-05,0.36128331706159916,6.744399163031124e-07,0.011398134484794983,150011.22159259152
4186.39,2.11455,0.435102,0.457729,3.070440146633594e-05,0.38847748432633944,7.611551220186625e-07,0.012084022349486405,16887.570860808442
4203.82,4.81852,0.57792,0.434317,9.504155836349656e-06,0.4352595315260189,9.19977565619459e-07,0.011831176629781507,318685.3290433831
10143.7,2.17351,0.589807,0.330493,2.9913359518398247e-05,0.3811864271268417,7.374950906289688e-07,0.008430982508295716,18685.684169668933
9531.99,327.659,0.512452,0.547646,1.734533927175173e-08,0.4611292430562737,1.0129030068710895e-06,0.014846658614372382,5819068222740.607
5277.23,9.36633,0.500446,0.549985,3.572502374202127e-06,0.4566162198399969,9.96435007249654e-07,0.01435946827747858,3998217.293030138
9754.38,6.54661,0.458025,0.414164,5.570876642128084e-06,0.37906596889623806,7.306702324027068e-07,0.011331304345331267,1667469.5548520891
4013.7,7.47125,0.549123,0.556314,5.1442259837620736e-06,0.4811571845490602,1.0872807808327449e-06,0.016359499050768125,1385841.699890658
2418.57,0.595859,0.303224,0.626196,0.00020942749368367387,0.37449145639442893,7.160333932374999e-07,0.0076047739728565674,107.28086627559946
5745.1,0.360028,0.269542,0.293636,0.0003471053977515525,0.2448681562931574,3.5270959305629216e-07,0.0069636870863459726,56.59547223279607
5523.0,1.91857,0.404859,0.376656,3.32387841113562e-05,0.33990828415301594,6.092557945828625e-07,0.010148498521949366,17076.098794825226
1803.13,0.304126,0.516986,0.538157,0.0006119532980986544,0.45916671794874664,1.0057284954491304e-06,0.01505473433449029,4.376172467160189
9511.8,0.894617,0.396096,0.302816,9.871848284351125e-05,0.3009560412818962,4.973955121143361e-07,0.007794761381872558,1147.6440249739883
94.109,4.40022,1.2762,0.777193,1.5511985717710768e-05,0.8617358422110031,2.8717966284349847e-06,0.026845555071019662,27646.61943568721
2398.67,3.1241,0.599461,0.440887,1.8456309807361e-05,0.44649562625412254,9.598987690508783e-07,0.0120329475869519,52035.17272813896
2981.42,5.88181,0.557415,0.584204,7.48405638117179e-06,0.4967543386569928,1.1466552608538855e-06,0.01664606687575529,483552.6523942134
217.265,1.22195,0.912856,0.723329,9.461913936288952e-05,0.7064418345815712,2.062168281085906e-06,0.024175349051688767,309.96109718986224
2067.17,0.849587,0.361765,0.388317,0.00011050591573907379,0.32624662080277683,5.689928247348173e-07,0.009684436530758397,742.6275269791729
3181.69,0.52118,0.301207,0.356885,0.0002154292338819837,0.28521915634666706,4.5480780036240055e-07,0.007808100756354621,156.64083251780468
8741.29,1.73539,0.386001,0.400293,3.875607508633031e-05,0.34218649306479587,6.160768046200791e-07,0.010478118089709547,11212.462499843565
5629.42,36.0328,0.546334,0.580232,4.903139469425991e-07,0.49009990152881355,1.1211690791753124e-06,0.016178002107368774,708989281.6962999
8070.97,4.76934,0.460068,0.466456,9.233872096559708e-06,0.40328149254616524,8.101098374219587e-07,0.012992272496527325,390848.02330448193
1968.86,10.9588,0.673236,0.560599,3.0593346451129864e-06,0.5343679134621229,1.2949829214761082e-06,0.016584880287480532,4651997.143005039
307.119,1.66581,0.84191,0.741094,5.8471704280791174e-05,0.6873643070292378,1.970191226608433e-06,0.025382765183020427,1170.9679607606156
2135.11,0.386288,0.420522,0.542003,0.0004083025829078366,0.4149462492427553,8.495386823405214e-07,0.011401481301225636,15.242145135272686
1891.65,0.43848,0.531294,0.597616,0.00036563513357309394,0.49036832855464996,1.1221927038852194e-06,0.015504902029547673,15.489129750843757
844.686,1.39944,0.805224,0.620758,7.207232638777076e-05,0.6144416020913871,1.6342974678495302e-06,0.01904569486831074,808.2171702080836
922.343,6.51271,0.698021,0.830095,7.431534440297029e-06,0.6621654357022959,1.8512891901233425e-06,0.022926857942386216,305181.72368029953
6422.95,18.1485,0.540862,0.537887,1.342276673677278e-06,0.46955063206269726,1.04392060271284e-06,0.015919924870423676,51919343.179816276
3267.57,0.733415,0.777878,0.302267,0.00016533290300670435,0.4131282780329537,8.433443850352147e-07,0.007519998942831191,171.10494578036725
435.655,1.43063,0.945232,0.794925,7.702756484223506e-05,0.7540515834633592,2.2989622861496463e-06,0.02857562204240214,481.1942361180981
6401.6,8.58956,0.564932,0.445732,3.99015682672037e-06,0.4362351281643539,9.234168831026773e-07,0.012259203155031762,3212706.5224020598
7892.37,223.157,0.554779,0.506723,3.08807315811815e-08,0.4614771640094317,1.014177048832126e-06,0.014599067870721825,1248230472383.9128
7417.15,1.35183,0.44442,0.332682,5.604009163414127e-05,0.33403973762824624,5.918254580157439e-07,0.008646967156913274,4365.670273352166
2665.13,0.273629,0.459456,0.503338,0.0006849619490365282,0.41855787058272953,8.618981352708016e-07,0.01288163855914372,3.7800885358581056
4675.25,0.854642,0.346739,0.342441,0.00010498637219315961,0.29997601827174697,4.946989403366416e-07,0.009140546402874978,979.2127644172037
11913.9,0.918871,0.340972,0.302695,9.101055185724981e-05,0.2795774437694743,4.399131753721938e-07,0.007883525178846598,1611.7370398560656
125.242,5.13275,1.00351,0.940354,1.1979831635053806e-05,0.8455799432424247,2.7826240965711416e-06,0.040503040816056816,56831.04729284724
324.869,3.41287,0.888627,0.68569,1.9884259278065487e-05,0.6784064295780614,1.9275841439097423e-06,0.022141922394162836,21242.40305720924
5995.68,0.948669,0.341937,0.33769,8.914688896219036e-05,0.29581790257495605,4.833230515860522e-07,0.008996348826170845,1550.1942397292767
3130.56,34.9855,0.576636,0.656879,5.362694210911203e-07,0.5355541527075497,1.2997776703986975e-06,0.017319528476581927,481598300.22101
1155.8,0.370551,0.490153,0.55117,0.0004520262851671264,0.4523277679877023,9.808866766296868e-07,0.01395186302062224,10.064845181421154
12763.4,0.672603,0.354581,0.280396,0.00014433901619614978,0.2741200268599683,4.2569449031128226e-07,0.007181235008915283,486.9015212462355
