z,freq_0,freq_0_num,freq_1,freq_1_num,freq_2,freq_2_num,freq_3,freq_3_num,freq_4,freq_4_num,freq_5,freq_5_num,freq_6,freq_6_num,freq_7,freq_7_num,freq_8,freq_8_num,freq_9,freq_9_num,freq_10,freq_10_num,freq_11,freq_11_num,freq_12,freq_12_num,freq_13,freq_13_num,freq_14,freq_14_num,freq_15,freq_15_num,freq_16,freq_16_num,freq_17,freq_17_num,freq_18,freq_18_num,freq_19,freq_19_num,freq_20,freq_20_num,freq_21,freq_21_num,freq_22,freq_22_num,freq_23,freq_23_num,freq_24,freq_24_num,freq_25,freq_25_num,freq_26,freq_26_num,freq_27,freq_27_num,freq_28,freq_28_num,freq_29,freq_29_num,freq_30,freq_30_num,freq_31,freq_31_num,freq_32,freq_32_num,freq_33,freq_33_num,freq_34,freq_34_num,freq_35,freq_35_num,freq_36,freq_36_num,freq_37,freq_37_num,freq_38,freq_38_num,freq_39,freq_39_num,freq_40,freq_40_num,freq_41,freq_41_num,freq_42,freq_42_num,freq_43,freq_43_num,freq_44,freq_44_num,freq_45,freq_45_num,freq_46,freq_46_num,freq_47,freq_47_num,freq_48,freq_48_num,freq_49,freq_49_num,freq_50,freq_50_num,freq_51,freq_51_num,freq_52,freq_52_num,freq_53,freq_53_num,freq_54,freq_54_num,freq_55,freq_55_num,freq_56,freq_56_num,freq_57,freq_57_num,freq_58,freq_58_num,freq_59,freq_59_num,freq_60,freq_60_num,freq_61,freq_61_num,freq_62,freq_62_num,freq_63,freq_63_num,freq_64,freq_64_num,freq_65,freq_65_num,freq_66,freq_66_num,freq_67,freq_67_num,freq_68,freq_68_num,freq_69,freq_69_num,freq_70,freq_70_num,freq_71,freq_71_num,freq_72,freq_72_num,freq_73,freq_73_num,freq_74,freq_74_num,freq_75,freq_75_num,freq_76,freq_76_num,freq_77,freq_77_num,freq_78,freq_78_num,freq_79,freq_79_num,freq_80,freq_80_num,freq_81,freq_81_num,freq_82,freq_82_num,freq_83,freq_83_num,freq_84,freq_84_num,freq_85,freq_85_num,freq_86,freq_86_num,freq_87,freq_87_num,freq_88,freq_88_num,freq_89,freq_89_num,freq_90,freq_90_num,freq_91,freq_91_num,freq_92,freq_92_num,freq_93,freq_93_num,freq_94,freq_94_num,freq_95,freq_95_num,freq_96,freq_96_num,freq_97,freq_97_num,freq_98,freq_98_num,freq_99,freq_99_num
1.4000000000000001,17.243723170717068,79323241426851.22,50.325654407189106,209979236588226.94,36.583713472997346,126577858915707.38,160.6430331512112,319211648359415.4,221.4919599241274,374159319994703.5,539.5624089054761,696764855984067.0,616.2229470213489,657802823179037.6,370.18053302787064,243737627035771.84,321.9662514328288,225061727622464.66,414.0131841882477,306375703072985.94,356.3287146580567,296989380362501.56,293.8037997811667,277747029684140.22,377.3539773615125,352834741668678.6,402.15006291626156,338660078443890.3,265.2321354217161,140987043925701.0,219.88474918072737,117707421334464.3,166.73418106228831,63404611079250.125,122.18733079239922,34108691582528.805,144.92857783752626,34428449182582.242,123.0123206922288,22760365575640.766,77.11089150627593,9348375347272.238,52.69358538414234,5432151596851.027,76.73012773428108,6089522409527.615,25.606265144000535,1753442269431.0286,43.508474373431184,2358444207818.129,32.11035484389403,1149629217285.326,18.866123014859497,611458399048.7432,16.10986853568563,331222829722.453,3.252439908077461,58225450789.158844,7.983577694228631,107282280066.42056,9.039156060780968,124293987120.01392,9.79182277236679,65167427609.3934,4.830580923453218,6505118263.717586,0.32952573233444615,95711217.34591576,4.53763664387384,17172975526.533085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.90700241613945,86744692.17855847,88.13257369774144,1571397901.3576388,707.2757529742235,5944140966.312318,1070.1019036267885,6178904904.579465,1635.0187954565522,6191676071.227498,4554.320178942755,8815886681.451233,889.9435265830757,1041564124.8482995,968.523006765266,643500500.4192246,1072.523788509812,423495960.4580127,1561.7514878346346,407810034.2730858,1690.6192438090563,266872400.26191112,1452.360734604886,126193461.45349811,1518.8602440010004,74856277.84697391,1439.3344344236705,39977264.591401845,2838.7178865647898,45913067.8042862,3434.213768091523,30488217.11676724,939.0148317274744,4544320.771296642,390.604869958648,1219937.067561836,299.5263983757186,628097.7732355742,79.6864080492531,112813.58327969145,46.20874017795535,44812.28627049757,0.0,0.0,0.0,0.0,1.250465967991601,344.8138512116828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.8,9.467459318121088,71689349815684.22,45.75427230139738,195275899202298.06,49.18451149322109,195616058846382.94,121.4457779044658,357080300623853.06,280.6775826089809,480735379371849.06,335.22726517420654,481980761191908.25,336.07777164803673,355743830107124.5,293.7085990408485,262310490656811.28,194.56246756810881,190600952709937.3,188.6939681491467,219587595705955.38,194.53717625668438,239638662823288.97,275.27319180352214,323317468035568.3,169.82062891386144,136617212728494.34,149.34511711893182,97064287399971.61,176.32616876018136,100700819987024.72,101.976113670422,45195009781032.22,82.07798773505027,28426543266043.55,85.64489833350126,23370937570431.895,72.78488202614923,18042371448907.34,76.17157444220629,14553153890068.592,49.257150348809525,6266983862143.781,31.3709431673849,3522418095762.8164,34.78154329246552,2993655952207.829,20.404541789532807,1279763623548.593,17.440751164623236,1143676661143.037,15.544865799695408,746526142859.9031,9.80005995833756,394119442770.0059,8.364478250368949,155375180589.07648,7.048679343912452,78555930248.38898,3.9060580408077494,18701944486.367527,2.6875208748382917,25899590000.46129,6.410942697926467,54564497049.31513,1.471217700117072,13404351200.21656,5.099465100022052,29186556361.958485,0.0,0.0,0.9200184709092046,2852517911.2897844,0.0,0.0,0.0,0.0,0.0,0.0,2.651248050898437,1422727388.324826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.521315018665105,204352160.34766328,87.85138472013219,1309864447.656667,503.74244366732887,5768705940.579949,525.2013319059981,4106432824.2783265,1003.1013958269934,4969870310.714913,2058.7603730245137,6140162555.387079,645.4247670052425,1008831276.4320878,597.7932949067275,576796601.2611161,722.3331163376474,427459079.40660393,959.8027984456498,357636485.8582323,978.1268565034566,210686486.63892296,848.8578136314635,102169897.70248523,782.5988208243626,51571862.99407116,1128.2572631831938,44027632.576857276,2288.5779846632204,50568288.51640099,1317.0418374703534,15471581.100361064,180.01310808787437,1215971.9399059308,185.35461612384637,807037.1101785643,88.8116603717518,276587.2911826215,48.70544099559039,98055.55669622954,10.826954494432734,16978.789697434444,0.0,0.0,6.721073332011959,3351.920017319028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.2,22.538213127234616,161082361487329.6,23.096674070155483,127453165865595.58,57.77144148552568,176836157812387.03,98.67864857010163,232874573409365.3,169.40209058395322,280467531446000.38,176.18452059203236,241162708601293.34,211.5496242940231,239165459725462.7,104.41121050299914,122374617727033.28,117.17109444320567,115359833852303.11,120.66473871111828,139028285452190.0,109.0721061001467,100387753707132.56,109.49075772397124,98097073397130.03,118.01501560677042,94783627940122.64,96.95975579742627,58569495242572.836,96.87796907023487,54258179777818.59,69.13805628738723,31515279858452.742,71.66235835313131,23532978876187.695,64.19402155354905,15829940174877.344,47.80201074226916,9677464598954.582,36.259907507253125,5814301161122.943,43.68162902690811,5058170459263.29,27.338667871449104,2695081175902.02,21.024465890736376,1635674247579.7825,13.945259500398892,1008095410716.216,16.243968474521076,864138028148.6666,21.97007668305483,815735495095.0491,13.795638365217464,483633177801.503,13.193547259843958,274097133987.26266,11.490602064079239,112951924475.74796,4.437231344590453,58128257147.89653,7.4796128611512565,47487890585.542305,0.04327011135736684,144376890.6603606,2.774174062455236,12616869425.350399,1.8674133844210623,3924769679.3745885,0.0,0.0,0.0,0.0,1.689443130865601,3039441091.7200894,0.5526177491159728,870437667.5746216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.232606397221119,148001177.77293107,50.43252282432083,846900134.831483,252.14298221937253,3950480202.0846324,240.24427200162899,2362040306.1014147,566.3881175385039,3441517010.156993,892.14629157811,3604045790.4432235,317.0763649089472,694127426.4809291,340.98854550910164,463749826.2899152,436.7353791476496,358879745.0536558,537.4475462831982,262830533.9575901,494.13643459148074,143387037.24601877,414.71692979290367,67439392.09122476,463.34388129956034,39495242.208472766,744.9878842130778,40141427.097614355,1291.9203770420609,39369982.53531603,487.6899463225673,7696724.555093722,44.62012960789867,409854.25359500584,78.07659199708034,485007.19547501067,24.759824708261178,102046.22531329807,17.747784919205166,54048.64029608571,3.0870053280501284,7217.387461526174,0.0,0.0,1.3127115667534595,958.8824274657873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.6,11.071676691452005,76921598651283.06,24.029246919155792,90823480060642.89,28.639974857195824,93927576919661.02,62.16153808892694,143107559739683.47,171.12689910556065,269908190799730.16,145.27623931707546,206223018282211.88,115.82012669518738,163700904048750.03,104.31656247963818,114262751279587.55,86.65768856905633,87362304654818.83,82.59668074497893,83791713024574.28,79.76758788745285,78938465249430.19,87.08852115113406,80707750683076.73,66.12674980817879,48502432211160.6,72.10188181882224,42872260257180.055,85.28407850875854,41095022549687.65,63.71158441319725,24946751569247.652,57.424605594850945,20112576326091.156,65.40052701885067,17339314386205.682,41.46079072785497,8402487519511.8125,55.98629446724404,9420170176671.295,43.62262511490856,5532098968577.464,29.6670978843361,2706578479444.058,21.40978393264329,1535163081353.7947,11.032720920838486,651258399614.0532,8.880443613784971,361208319703.0434,9.535998894854265,308044326002.58417,7.034913550681724,161230985561.4647,5.746814232815479,93386478730.34578,4.400995368638566,47030827084.739365,2.134906274072484,17655313827.529762,2.222648759632705,21205338102.555267,0.3258913243654264,2054170314.3568347,0.32447617249710814,592702392.0545397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.42235254874654,503337389.40432256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0205164990161606,117372688.84209764,25.934096761086476,583374799.9721467,107.45472040508521,2205329626.724656,109.71764106252806,1400065266.9785187,310.3957104752189,2431264346.697794,427.6221722326851,2263293100.3401823,132.9194741616211,374826215.1699161,143.90086182336427,250918881.72181582,193.53646885805506,203611656.62070122,252.88477002518854,156254714.78553608,235.93693810559395,88887465.42826314,219.88154059439694,47413021.6047363,254.0113687928299,29458152.34608334,410.3728595560503,30366319.025501605,675.990460308743,28535851.153238334,214.38775304921688,4595523.1934856335,18.733175023096074,231137.57500675414,40.89416584462433,358947.46697140957,9.934774519733647,51485.43484273766,7.984284456863724,34881.69836883751,1.5565632881695926,5066.62737445178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,6.388627157454719,39488854854488.26,13.44729900051502,64539436162955.28,22.434413758160087,67860507670487.81,93.22541512574996,193764359943787.3,68.1969441447688,130983742757350.52,71.62397554152048,121429086758633.92,82.88285468215521,106576220509107.81,71.67647001011792,96172079324502.39,69.5307934676786,84844360892932.72,59.605130173746154,66658098318919.02,60.12438494366729,55529898372595.766,66.48094648951113,53334717853716.96,68.28325733997896,47299015963272.99,72.89201837682519,44975785904017.91,61.64193401503752,30111956945652.03,45.04699773582989,17270319073506.13,39.27017268198445,11888022347521.309,27.40589945716654,6098025803336.815,18.729843616588493,3551426041006.255,13.28285392841482,2061608861450.2695,12.318555734915222,1359091134135.9536,11.550288606799844,1027012510504.4982,4.837174921546653,327232507877.8656,2.4699309374476144,178983635379.71527,5.7747175358671905,191291087397.98956,4.47152065906285,93452252867.9242,4.47038874675961,118115354602.79758,2.025112541879513,27152360059.47303,0.7282970111274094,2084997057.6226406,3.294381218757286,28379328880.20479,1.205849480237474,3965353721.633639,0.02313750375954653,207206946.53652668,1.4028057005859103,4807221350.043903,0.1687763679259076,433675104.5297943,0.6177860579694079,525227360.9132343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.845303441038626,94192550.68754362,9.414102109762808,285195424.8900442,29.73766641110262,745705695.2911835,47.20330409470794,811236149.7931682,146.73884785588254,1519679581.4664648,268.0277794717629,1823625735.211735,60.35528296263673,232450903.1731092,50.50341639864099,109596578.45134646,75.93808808724133,99956666.3078482,122.38010308689346,97705310.89160427,128.65169992444382,63790244.59633635,121.79857911545774,35182709.33046884,147.07902863758076,23297022.46593936,227.97743188793626,22711235.2647707,365.29965895218544,21121240.530151088,104.88892410606908,3278241.3205546215,10.809516014480264,174125.77670720647,18.630345640626466,210169.22365419415,6.587008437714493,45835.186502045115,4.993265484232158,29596.390856359096,1.7695077356675881,7527.2616067435465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.4000000000000004,6.264865523934747,33765255610596.05,13.110721370586566,48843826509974.74,23.16862382694994,61134646406958.31,59.07325509949998,116198792861259.56,51.11301464884722,92435332987594.9,58.4916802168804,94291607642004.64,49.85072409026526,77893010211335.25,44.34869303256949,61639460138307.42,51.400149837684545,61534552954629.336,52.29445321886864,52552573746264.24,50.38603457130571,46783415661963.38,35.197353000730324,25794787900302.527,36.09385881189023,23079339962031.406,29.977328648309292,14589282404179.844,23.2098303216705,9450903788607.408,20.534554024235096,6194683652013.378,14.471164614255985,3414209348294.971,8.515843664245704,1581986584477.0276,7.914307306298484,1006915908522.8635,5.477182503095779,589005883011.3796,3.7190554893998122,423475872630.20636,3.962702480363384,377584931393.9821,3.7242403865516045,192990609304.85358,2.362864913118405,95017914274.40158,1.7360309819958522,48037049489.07347,3.583335042278936,79678529874.72601,1.2998520759855154,24451788137.154163,0.8114156060488185,2380301642.3405995,1.0334205806888446,6220671592.017315,0.0777504049385021,955772589.4574122,0.480325164388551,407758425.087273,0.30531320178284704,128386890.148989,0.4658117492151327,1208369093.272257,0.0,0.0,0.32946627025854663,165202553.45415133,0.0,0.0,0.0,0.0,0.29387535025039674,110957761.74793866,0.0,0.0,0.9040748781713801,322168806.70119673,0.0,0.0,0.5764999286135041,114997908.51409477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37500774600519243,27696305.90569625,4.011465579490952,170780321.42559308,6.579432761119813,188532955.49622023,15.45679506204614,372393727.9561748,64.49999048294124,861917794.057101,190.00580166636726,1548636394.1202428,15.960707071532509,86855878.93766616,24.51565108021744,70258998.32998903,28.222360141742712,46056990.1002847,59.18256081534429,60324304.59610559,64.58314927573876,42298240.864233345,69.72886335400348,27934250.70729987,78.9920856899673,17421030.07689716,96.01980514769635,13432933.237897858,196.99988260973072,15890460.224701809,65.87246570171891,3002293.8556793355,9.177645333141532,200222.98597557782,8.666060346348964,130236.00681019704,5.473449090383372,52155.585220028865,3.305255498460661,26053.126767971436,2.122883729200405,11558.391206113956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.8000000000000003,3.1595077307423542,15739070237615.424,11.308827033789312,43223919872076.625,15.0152879740293,42688547050443.195,24.893274701377578,49425001661151.836,35.89588294125544,65960136909730.89,27.971684988501284,43877818610431.39,29.69004366175894,38386795671584.58,27.6104304316883,33005824762286.117,30.28397730591769,32389009403265.754,28.90710347054196,24915982891286.73,19.462793055894235,13793110724612.746,18.599751742563402,10444065562458.285,19.665605224549243,9622927643842.463,10.149082528051842,3429359374060.3438,8.618231771991576,2409876149296.505,10.698609215722945,1752910962869.336,6.974215499900746,1185222327680.5186,3.4949269520090973,399261037728.51086,4.5160885862841065,552864977369.4033,3.2146843587439706,321593474154.23926,3.515076814723573,190923942454.71664,1.8434596503342282,114485985767.38474,1.4049092121976243,57658344616.409935,1.0506912148524437,29418260204.26439,1.6405845219169446,31145730284.543625,2.3957154689187408,51995122199.985825,0.4685499972316791,6726346723.931598,0.6120638302872337,6282550426.351722,0.322425686529027,4453893893.359,0.2521126573683461,479754057.80842716,0.11722351781379792,952746187.5629812,0.02690347567664462,140881599.5652579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1664933012016856,118568889.84626564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4316020581602946,83218014.59441872,4.443917541555359,164506601.14717668,0.8923855821320581,27239714.68992552,18.88736821006165,331951254.39088947,136.3394163563155,1343589961.1902878,1.7048194208655905,15490669.555423722,5.849339610121348,24231693.090311743,13.139351051365828,27504184.73165948,29.082054328212315,37698993.14023592,30.59865081292064,26426142.36559784,38.0468717381536,20402790.211026546,47.94026970036608,14284935.359797955,52.10846672221184,9675898.420838516,98.56822126356217,11383453.109077804,50.1658269203855,3432984.191975282,4.772471394322934,160971.50850075937,3.9589066310710646,81916.7978300415,2.9238038549394925,44209.374550580644,3.073675030488825,30223.221522009135,2.2711829149813774,15590.727976029131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.2,2.6790869747140253,12336076633055.873,9.006599787165564,31167765892686.777,8.498622907692123,22523979921840.31,20.95152215832894,47693735996668.17,20.0469225283137,33387911091083.605,20.781040632926523,26814476666603.43,22.982972996675198,27333727044765.15,22.447777949799683,21865951508122.18,14.374519152163064,11808866812960.615,16.30694282647757,10572966872894.746,11.170051084133709,6073032075784.206,10.951506917765919,5515530342416.553,7.58260791072301,2690798732145.4927,6.0933777150901,1558012876041.9656,6.174563673517979,1149899931496.359,3.892369348830055,555200540888.5256,6.237939881128735,765136007897.2041,1.9843208665072467,188071814209.3851,2.8130900871966156,164609849990.8247,2.18048324133869,145248206971.3714,1.4642325345923506,61575474879.767746,0.37669427719524384,15021574122.501022,1.1481736994873932,48692972510.187935,0.48249651385839715,5034907436.424289,0.8562773611072961,16334146750.073326,0.7913385124838889,10309194711.236868,0.41329789659287436,4057680022.712365,0.626788484972232,5030007348.784479,0.013909951536993714,77738238.68832539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23784489199014688,423273744.71533704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3596889845339952,28468903.084652998,3.353342746157053,160672120.44374877,0.374887075021822,12027328.33191317,4.232524597999239,92714152.03623857,15.876805165949513,203220523.15422362,6.0433169262816175,64896570.823264584,1.9328634595761267,8697966.621081663,3.990209865562239,12917834.210639913,8.487884688656527,16308027.853765488,16.734819072353563,19004744.803406145,20.865769799167825,15542744.88000026,24.86333755811216,10674666.513724161,29.529837052356164,6955873.298693872,50.63773673106307,8070509.270857802,45.37662176556234,4316394.8797762375,5.011757251974213,233139.11943158938,1.257895898434608,35237.79676275616,2.9872115248694415,61937.5626856408,0.4586483275239911,5030.883732133255,2.527341376673105,22765.589671581234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.6000000000000005,2.5462053246810847,11389756859872.28,3.0210494735999918,9893091712006.87,7.288179560261538,19302279610058.383,9.142624244268355,16815351683835.922,16.55334438357403,23210938786910.664,14.358264199833734,17394578624897.527,16.932701224002134,16964076109558.805,10.903484568228393,9561524793188.363,10.766741952509342,7841768341952.341,8.492475632721542,4898146049908.388,9.15059493015735,3885533739717.0063,9.04532660001187,3255558168625.8613,7.69125604054383,1861974261560.0764,5.7037596246743245,893507934314.345,5.141150984876227,711827758771.1672,4.0305967641653755,503003724404.3461,2.5111517450806953,241249134497.74414,2.739475351534298,178775805461.4009,1.706838797473193,86748531245.74841,1.8970520809176767,82171045444.83493,1.174124880766124,35947765286.54491,0.7364268381875106,17950082696.54077,0.5314835696794211,8131396795.702201,0.0,0.0,0.33208899448776685,2659896663.116964,0.0,0.0,0.3078621890559601,622413048.094283,0.1257005208514023,899662292.7258561,0.0,0.0,0.24873300804919346,409562863.54672766,0.0,0.0,0.0,0.0,0.22080508073604552,191598309.02532828,0.20808460524350686,45521306.92047589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8290638493995975,60080389.89536557,0.694618146282606,33325541.88274301,0.29211181021946475,7305446.708668938,2.0939035975388127,32298922.82291939,15.511317404563725,186650723.09968585,0.7874805743045072,2796621.3119657,0.4677656455925697,1522764.4710322353,2.4202644928583323,6027643.310884604,7.02113758696483,9571921.459691184,9.850498624224082,9404217.07532223,13.363580524737465,7830168.135322251,14.114747404185394,4699901.555151923,20.261875061327697,4547743.39753828,29.361360105795633,3881300.4641221766,3.962142611060548,276595.5161729379,1.4331546709923721,50322.75647444982,1.8397626496631907,47462.50571939055,0.6989341189001088,10685.324542966515,0.7296097421777035,9999.266857121014,0.4164311150084138,3925.148601472979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,0.680004313183123,2753077068508.095,2.061062711416413,6527078408224.143,2.6324208579755006,6434843288461.055,8.06699133460133,14616492965664.797,9.587682859102557,13111834891316.385,12.308846298652158,13443050982389.834,10.48231833382179,9755136536723.045,6.660612339146982,5390275287757.522,7.762396555241844,4606557963083.216,8.005071037943488,3472633237970.176,8.066872072402672,3090190833497.048,7.0626973592383875,2076707953401.2327,4.080488654281314,973777341602.5104,3.6089982039341444,675421298752.6471,3.27185686883853,453543150716.3399,1.2245620273804203,135101684690.68489,1.8244865792629328,147560411390.42023,0.8753172003412968,44181196345.180756,0.8466655952282583,27305268612.83889,1.0718952447693362,41516947202.66244,0.5288274757658095,14454638148.688189,0.20751912906517053,2707541918.074312,0.05752332332449628,916391148.0827274,0.26701462921809227,2670961169.9078264,0.40270607666996655,3407239250.768943,0.15282239368945932,722281079.3480483,0.15494225990378768,876758664.9052368,0.44798455128983933,1394218971.5821671,0.20469617578048885,616018769.4740453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3584274143842229,34107333.92386738,1.0832789074777498,66852789.667470574,0.05593364865429142,2113480.4556528335,0.8966324128498938,18240599.463084694,10.160629244003712,127540232.03945298,0.0,0.0,0.0,0.0,1.2449904238870926,3962111.331740968,2.072049944129719,3962915.2566460255,3.016796263840215,3722165.446023215,5.345953534070009,3969995.831939307,7.4716590241559535,3368077.34630962,9.851607835243305,2733051.524697193,16.417241862027712,2866275.3199476535,3.704330227460794,411662.7854429653,0.5220121031206544,29296.792948959876,0.7192673696900682,22413.73050460548,0.4939380102149887,14768.883886389893,0.9771391344851603,15871.80950381725,0.7257456046548754,8263.437214238842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
