f,Om
1.0592537251772897e-05,3.105624850687915e-15
1.1885022274370188e-05,3.8692175046999566e-15
1.3335214321633239e-05,3.459053055940458e-15
1.4962356560944329e-05,8.274695584276699e-16
1.678804018122559e-05,6.537360622142235e-16
1.883649089489802e-05,9.314936663168431e-16
2.1134890398366476e-05,3.820393828574761e-15
2.371373705661655e-05,7.62293716771262e-15
2.6607250597988085e-05,1.5473943353953642e-14
2.9853826189179574e-05,3.1043975305704834e-14
3.3496543915782794e-05,4.622899423065607e-14
3.758374042884443e-05,7.287696463360882e-14
4.216965034285822e-05,1.039860788533013e-13
4.731512589614802e-05,1.466135009356811e-13
5.308844442309879e-05,1.929759645801642e-13
5.9566214352901096e-05,2.538633950220825e-13
6.683439175686149e-05,3.2684414001064635e-13
7.498942093324559e-05,4.112675050884482e-13
8.413951416451947e-05,5.061225557654371e-13
9.440608762859225e-05,6.119366356597827e-13
0.00010592537251772897,7.264949640566135e-13
0.0001188502227437019,8.521929685511746e-13
0.0001333521432163324,9.855595159310666e-13
0.00014962356560944327,1.131132564788884e-12
0.00016788040181225605,1.2871784541532146e-12
0.00018836490894898018,1.4550060746385686e-12
0.00021134890398366476,1.6352254972052593e-12
0.00023713737056616554,1.828504388831456e-12
0.00026607250597988083,2.0364979314988286e-12
0.000298538261891796,2.2598474452451595e-12
0.0003349654391578279,2.498849256872826e-12
0.0003758374042884443,2.7516568250904186e-12
0.00042169650342858224,3.0201281456898507e-12
0.0004731512589614803,3.298695404855173e-12
0.0005308844442309884,3.59516653934129e-12
0.0005956621435290109,3.908219848431325e-12
0.0006683439175686148,4.246464502493458e-12
0.0007498942093324559,4.613260035413966e-12
0.0008413951416451947,5.013842094898663e-12
0.0009440608762859236,5.452321943455869e-12
0.0010592537251772885,5.930981427767691e-12
0.0011885022274370188,6.462383731243367e-12
0.0013335214321633238,7.038691331022469e-12
0.0014962356560944343,7.665258994169523e-12
0.0016788040181225606,8.350577714127574e-12
0.0018836490894898002,9.06774376405512e-12
0.0021134890398366475,9.842574086529554e-12
0.002371373705661655,1.0663258761203718e-11
0.002660725059798811,1.1519210668421079e-11
0.0029853826189179603,1.2439635611856832e-11
0.003349654391578279,1.3433091583010426e-11
0.0037583740428844435,1.4499537329509871e-11
0.004216965034285822,1.5634550048046813e-11
0.004731512589614808,1.681809965931297e-11
0.005308844442309884,1.8004930104156578e-11
0.005956621435290109,1.912869271521782e-11
0.006683439175686148,2.009932298933958e-11
0.007498942093324559,2.080037077859542e-11
0.008413951416451956,2.1210519401527922e-11
0.009440608762859235,2.1221338333367357e-11
0.010592537251772897,2.0854918469901815e-11
0.01188502227437019,2.055921337504082e-11
0.013335214321633239,1.9995243233836194e-11
0.014962356560944343,1.9352028175161677e-11
0.016788040181225605,1.8948172854771485e-11
0.01883649089489802,1.834632065171688e-11
0.021134890398366475,1.7415501188937365e-11
0.023713737056616554,1.6190435834620117e-11
0.026607250597988113,1.4554925631908283e-11
0.029853826189179603,1.2991953776568638e-11
0.033496543915782793,1.0854514230353418e-11
0.03758374042884443,9.342360382939955e-12
0.042169650342858224,6.972751807460224e-12
0.04731512589614808,3.911740209761237e-12
0.053088444423098846,2.642355313359833e-12
0.059566214352901097,1.1902568247277562e-12
0.06683439175686148,4.4341947959111816e-13
0.07498942093324558,1.7102643781965726e-13
0.08413951416451956,1.812966334728874e-14
0.09440608762859236,1.4799485458282383e-14
0.10592537251772897,9.962473023423105e-16
0.11885022274370188,0.0
0.1333521432163324,0.0
0.1496235656094433,0.0
0.16788040181225622,0.0
0.1883649089489802,0.0
0.21134890398366477,0.0
0.23713737056616552,0.0
0.2660725059798808,0.0
0.29853826189179633,0.0
0.33496543915782795,0.0
0.3758374042884443,0.0
0.4216965034285822,0.0
0.47315125896148025,0.0
0.5308844442309889,0.0
0.5956621435290109,0.0
0.6683439175686149,0.0
0.7498942093324559,0.0
0.8413951416451965,0.0
0.9440608762859245,0.0
